#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10973E+04    0.51751E-01    0.00000E+00    0.34005E+01    0.50378E-07    0.33043E-02   -0.15963E-04
     3    0.10252E+04    0.85298E-01    0.00000E+00    0.42487E+01    0.61340E-07    0.32928E-02   -0.19589E-04
     4    0.95787E+03    0.97052E-01    0.00000E+00    0.43734E+01    0.70702E-07    0.32102E-02   -0.19855E-04
     5    0.90590E+03    0.87380E-01    0.00000E+00    0.40671E+01    0.78825E-07    0.31008E-02   -0.17678E-04
     6    0.86801E+03    0.65706E-01    0.00000E+00    0.35553E+01    0.85915E-07    0.29828E-02   -0.13903E-04
     7    0.84163E+03    0.42609E-01    0.00000E+00    0.29811E+01    0.92157E-07    0.28660E-02   -0.93720E-05
     8    0.82383E+03    0.24901E-01    0.00000E+00    0.24318E+01    0.97683E-07    0.27510E-02   -0.48729E-05
     9    0.81258E+03    0.14508E-01    0.00000E+00    0.19544E+01    0.10260E-06    0.26365E-02   -0.10213E-05
    10    0.80643E+03    0.99368E-02    0.00000E+00    0.15753E+01    0.10698E-06    0.25249E-02    0.18389E-05
    11    0.80393E+03    0.84894E-02    0.00000E+00    0.13044E+01    0.11092E-06    0.24215E-02    0.36029E-05
    12    0.80527E+03    0.79893E-02    0.00000E+00    0.11413E+01    0.11444E-06    0.23284E-02    0.42656E-05
    13    0.80864E+03    0.73131E-02    0.00000E+00    0.10661E+01    0.11759E-06    0.22439E-02    0.39529E-05
    14    0.81310E+03    0.64417E-02    0.00000E+00    0.10538E+01    0.12042E-06    0.21659E-02    0.28678E-05
    15    0.81897E+03    0.56742E-02    0.00000E+00    0.10862E+01    0.12296E-06    0.20918E-02    0.14260E-05
    16    0.82666E+03    0.52843E-02    0.00000E+00    0.11473E+01    0.12523E-06    0.20198E-02    0.30949E-07
    17    0.83608E+03    0.53461E-02    0.00000E+00    0.12207E+01    0.12727E-06    0.19514E-02   -0.11426E-05
    18    0.84625E+03    0.56750E-02    0.00000E+00    0.12930E+01    0.12910E-06    0.18879E-02   -0.19975E-05
    19    0.85801E+03    0.60993E-02    0.00000E+00    0.13578E+01    0.13074E-06    0.18283E-02   -0.25185E-05
    20    0.86968E+03    0.65392E-02    0.00000E+00    0.14094E+01    0.13219E-06    0.17712E-02   -0.27044E-05
    21    0.88161E+03    0.70021E-02    0.00000E+00    0.14522E+01    0.13347E-06    0.17161E-02   -0.25303E-05
    22    0.89410E+03    0.76005E-02    0.00000E+00    0.14911E+01    0.13461E-06    0.16632E-02   -0.20130E-05
    23    0.90695E+03    0.84202E-02    0.00000E+00    0.15274E+01    0.13561E-06    0.16127E-02   -0.13582E-05
    24    0.92021E+03    0.94944E-02    0.00000E+00    0.15619E+01    0.13648E-06    0.15649E-02   -0.78625E-06
    25    0.93382E+03    0.10843E-01    0.00000E+00    0.15977E+01    0.13724E-06    0.15196E-02   -0.39450E-06
    26    0.94759E+03    0.12436E-01    0.00000E+00    0.16390E+01    0.13789E-06    0.14765E-02   -0.22080E-06
    27    0.96176E+03    0.14229E-01    0.00000E+00    0.16832E+01    0.13844E-06    0.14353E-02   -0.18756E-06
    28    0.97617E+03    0.16205E-01    0.00000E+00    0.17279E+01    0.13891E-06    0.13960E-02   -0.21366E-06
    29    0.99090E+03    0.18369E-01    0.00000E+00    0.17719E+01    0.13929E-06    0.13587E-02   -0.31632E-06
    30    0.10059E+04    0.20733E-01    0.00000E+00    0.18126E+01    0.13957E-06    0.13237E-02   -0.52425E-06
    31    0.10209E+04    0.23284E-01    0.00000E+00    0.18466E+01    0.13979E-06    0.12904E-02   -0.81506E-06
    32    0.10363E+04    0.25994E-01    0.00000E+00    0.18708E+01    0.13993E-06    0.12582E-02   -0.11388E-05
    33    0.10520E+04    0.28877E-01    0.00000E+00    0.18833E+01    0.14002E-06    0.12269E-02   -0.13863E-05
    34    0.10679E+04    0.31960E-01    0.00000E+00    0.18840E+01    0.14004E-06    0.11964E-02   -0.14599E-05
    35    0.10839E+04    0.35244E-01    0.00000E+00    0.18754E+01    0.14002E-06    0.11669E-02   -0.13656E-05
    36    0.11000E+04    0.38737E-01    0.00000E+00    0.18585E+01    0.13994E-06    0.11384E-02   -0.11505E-05
    37    0.11163E+04    0.42450E-01    0.00000E+00    0.18295E+01    0.13981E-06    0.11115E-02   -0.92230E-06
    38    0.11329E+04    0.46401E-01    0.00000E+00    0.17862E+01    0.13964E-06    0.10861E-02   -0.77400E-06
    39    0.11498E+04    0.50598E-01    0.00000E+00    0.17317E+01    0.13944E-06    0.10620E-02   -0.68150E-06
    40    0.11669E+04    0.55052E-01    0.00000E+00    0.16698E+01    0.13919E-06    0.10388E-02   -0.59160E-06
    41    0.11842E+04    0.59779E-01    0.00000E+00    0.16033E+01    0.13890E-06    0.10160E-02   -0.46561E-06
    42    0.12015E+04    0.64782E-01    0.00000E+00    0.15301E+01    0.13858E-06    0.99380E-03   -0.32207E-06
    43    0.12189E+04    0.70062E-01    0.00000E+00    0.14473E+01    0.13823E-06    0.97216E-03   -0.19368E-06
    44    0.12362E+04    0.75606E-01    0.00000E+00    0.13528E+01    0.13785E-06    0.95123E-03   -0.11308E-06
    45    0.12540E+04    0.81410E-01    0.00000E+00    0.12445E+01    0.13744E-06    0.93112E-03   -0.11278E-06
    46    0.12720E+04    0.87475E-01    0.00000E+00    0.11191E+01    0.13700E-06    0.91187E-03   -0.21285E-06
    47    0.12901E+04    0.93797E-01    0.00000E+00    0.97832E+00    0.13655E-06    0.89339E-03   -0.38379E-06
    48    0.13082E+04    0.10038E+00    0.00000E+00    0.82779E+00    0.13607E-06    0.87551E-03   -0.58380E-06
    49    0.13266E+04    0.10721E+00    0.00000E+00    0.67249E+00    0.13557E-06    0.85807E-03   -0.77121E-06
    50    0.13453E+04    0.11426E+00    0.00000E+00    0.51061E+00    0.13505E-06    0.84091E-03   -0.90448E-06
    51    0.13641E+04    0.12150E+00    0.00000E+00    0.33855E+00    0.13452E-06    0.82394E-03   -0.95348E-06
    52    0.13834E+04    0.12902E+00    0.00000E+00    0.15109E+00    0.13397E-06    0.80728E-03   -0.93359E-06
    53    0.14026E+04    0.13696E+00    0.00000E+00   -0.55565E-01    0.13340E-06    0.79108E-03   -0.87150E-06
    54    0.14218E+04    0.14532E+00    0.00000E+00   -0.27724E+00    0.13283E-06    0.77553E-03   -0.79381E-06
    55    0.14411E+04    0.15408E+00    0.00000E+00   -0.50964E+00    0.13224E-06    0.76080E-03   -0.72710E-06
    56    0.14608E+04    0.16310E+00    0.00000E+00   -0.75454E+00    0.13163E-06    0.74700E-03   -0.69120E-06
    57    0.14807E+04    0.17226E+00    0.00000E+00   -0.10117E+01    0.13102E-06    0.73398E-03   -0.67924E-06
    58    0.15009E+04    0.18158E+00    0.00000E+00   -0.12814E+01    0.13040E-06    0.72157E-03   -0.67772E-06
    59    0.15213E+04    0.19109E+00    0.00000E+00   -0.15643E+01    0.12977E-06    0.70956E-03   -0.67314E-06
    60    0.15418E+04    0.20085E+00    0.00000E+00   -0.18593E+01    0.12913E-06    0.69775E-03   -0.65203E-06
    61    0.15628E+04    0.21095E+00    0.00000E+00   -0.21654E+01    0.12848E-06    0.68600E-03   -0.60553E-06
    62    0.15836E+04    0.22138E+00    0.00000E+00   -0.24837E+01    0.12782E-06    0.67430E-03   -0.54304E-06
    63    0.16045E+04    0.23209E+00    0.00000E+00   -0.28155E+01    0.12715E-06    0.66269E-03   -0.47851E-06
    64    0.16259E+04    0.24309E+00    0.00000E+00   -0.31623E+01    0.12648E-06    0.65123E-03   -0.42588E-06
    65    0.16472E+04    0.25436E+00    0.00000E+00   -0.35250E+01    0.12581E-06    0.63993E-03   -0.39905E-06
    66    0.16689E+04    0.26583E+00    0.00000E+00   -0.39019E+01    0.12513E-06    0.62886E-03   -0.40831E-06
    67    0.16907E+04    0.27749E+00    0.00000E+00   -0.42901E+01    0.12445E-06    0.61805E-03   -0.44941E-06
    68    0.17130E+04    0.28940E+00    0.00000E+00   -0.46876E+01    0.12377E-06    0.60756E-03   -0.51449E-06
    69    0.17354E+04    0.30151E+00    0.00000E+00   -0.50926E+01    0.12308E-06    0.59743E-03   -0.59571E-06
    70    0.17581E+04    0.31386E+00    0.00000E+00   -0.55063E+01    0.12239E-06    0.58771E-03   -0.68525E-06
    71    0.17810E+04    0.32646E+00    0.00000E+00   -0.59311E+01    0.12170E-06    0.57843E-03   -0.77476E-06
    72    0.18040E+04    0.33926E+00    0.00000E+00   -0.63683E+01    0.12101E-06    0.56955E-03   -0.85390E-06
    73    0.18272E+04    0.35224E+00    0.00000E+00   -0.68187E+01    0.12032E-06    0.56103E-03   -0.91183E-06
    74    0.18506E+04    0.36538E+00    0.00000E+00   -0.72814E+01    0.11963E-06    0.55280E-03   -0.93771E-06
    75    0.18743E+04    0.37869E+00    0.00000E+00   -0.77552E+01    0.11893E-06    0.54482E-03   -0.92074E-06
    76    0.18982E+04    0.39218E+00    0.00000E+00   -0.82396E+01    0.11824E-06    0.53703E-03   -0.85481E-06
    77    0.19225E+04    0.40582E+00    0.00000E+00   -0.87343E+01    0.11754E-06    0.52941E-03   -0.75268E-06
    78    0.19471E+04    0.41966E+00    0.00000E+00   -0.92407E+01    0.11685E-06    0.52194E-03   -0.63183E-06
    79    0.19719E+04    0.43362E+00    0.00000E+00   -0.97551E+01    0.11615E-06    0.51461E-03   -0.50969E-06
    80    0.19970E+04    0.44772E+00    0.00000E+00   -0.10279E+02    0.11546E-06    0.50739E-03   -0.40371E-06
    81    0.20222E+04    0.46190E+00    0.00000E+00   -0.10812E+02    0.11476E-06    0.50027E-03   -0.32847E-06
    82    0.20477E+04    0.47618E+00    0.00000E+00   -0.11355E+02    0.11407E-06    0.49324E-03   -0.28731E-06
    83    0.20734E+04    0.49055E+00    0.00000E+00   -0.11906E+02    0.11338E-06    0.48630E-03   -0.28077E-06
    84    0.20993E+04    0.50500E+00    0.00000E+00   -0.12463E+02    0.11269E-06    0.47944E-03   -0.30937E-06
    85    0.21254E+04    0.51950E+00    0.00000E+00   -0.13029E+02    0.11200E-06    0.47265E-03   -0.37364E-06
    86    0.21516E+04    0.53406E+00    0.00000E+00   -0.13600E+02    0.11132E-06    0.46595E-03   -0.47200E-06
    87    0.21783E+04    0.54866E+00    0.00000E+00   -0.14178E+02    0.11063E-06    0.45933E-03   -0.59450E-06
    88    0.22049E+04    0.56331E+00    0.00000E+00   -0.14762E+02    0.10995E-06    0.45283E-03   -0.72908E-06
    89    0.22319E+04    0.57800E+00    0.00000E+00   -0.15352E+02    0.10928E-06    0.44647E-03   -0.86370E-06
    90    0.22591E+04    0.59268E+00    0.00000E+00   -0.15947E+02    0.10860E-06    0.44026E-03   -0.98634E-06
    91    0.22864E+04    0.60736E+00    0.00000E+00   -0.16548E+02    0.10793E-06    0.43422E-03   -0.10872E-05
    92    0.23141E+04    0.62202E+00    0.00000E+00   -0.17153E+02    0.10726E-06    0.42836E-03   -0.11658E-05
    93    0.23419E+04    0.63664E+00    0.00000E+00   -0.17762E+02    0.10659E-06    0.42265E-03   -0.12236E-05
    94    0.23699E+04    0.65120E+00    0.00000E+00   -0.18374E+02    0.10593E-06    0.41711E-03   -0.12624E-05
    95    0.23981E+04    0.66570E+00    0.00000E+00   -0.18990E+02    0.10527E-06    0.41171E-03   -0.12838E-05
    96    0.24264E+04    0.68011E+00    0.00000E+00   -0.19609E+02    0.10462E-06    0.40646E-03   -0.12894E-05
    97    0.24550E+04    0.69443E+00    0.00000E+00   -0.20231E+02    0.10396E-06    0.40134E-03   -0.12810E-05
    98    0.24839E+04    0.70865E+00    0.00000E+00   -0.20853E+02    0.10332E-06    0.39636E-03   -0.12601E-05
    99    0.25129E+04    0.72274E+00    0.00000E+00   -0.21479E+02    0.10267E-06    0.39150E-03   -0.12283E-05
   100    0.25421E+04    0.73668E+00    0.00000E+00   -0.22103E+02    0.10203E-06    0.38676E-03   -0.11874E-05
   101    0.25715E+04    0.75055E+00    0.00000E+00   -0.22729E+02    0.10139E-06    0.38214E-03   -0.11390E-05
   102    0.26013E+04    0.76419E+00    0.00000E+00   -0.23355E+02    0.10075E-06    0.37762E-03   -0.10847E-05
   103    0.26312E+04    0.77769E+00    0.00000E+00   -0.23981E+02    0.10012E-06    0.37319E-03   -0.10262E-05
   104    0.26612E+04    0.79103E+00    0.00000E+00   -0.24605E+02    0.99494E-07    0.36886E-03   -0.96504E-06
   105    0.26913E+04    0.80415E+00    0.00000E+00   -0.25228E+02    0.98871E-07    0.36462E-03   -0.90295E-06
   106    0.27217E+04    0.81712E+00    0.00000E+00   -0.25850E+02    0.98251E-07    0.36046E-03   -0.84153E-06
   107    0.27520E+04    0.82980E+00    0.00000E+00   -0.26468E+02    0.97634E-07    0.35637E-03   -0.78243E-06
   108    0.27827E+04    0.84225E+00    0.00000E+00   -0.27084E+02    0.97022E-07    0.35235E-03   -0.72728E-06
   109    0.28135E+04    0.85441E+00    0.00000E+00   -0.27697E+02    0.96414E-07    0.34839E-03   -0.67772E-06
   110    0.28444E+04    0.86628E+00    0.00000E+00   -0.28305E+02    0.95810E-07    0.34449E-03   -0.63538E-06
   111    0.28754E+04    0.87792E+00    0.00000E+00   -0.28909E+02    0.95211E-07    0.34064E-03   -0.60153E-06
