#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.10973E+04    0.34005E+01    0.13490E-02    0.34005E+01    0.51751E-01   -0.65170E-05    0.13490E-02   -0.65170E-05    0.83964E-08
     3    0.10252E+04    0.42487E+01    0.95055E-03    0.42487E+01    0.85298E-01   -0.56549E-05    0.95055E-03   -0.56549E-05    0.51117E-08
     4    0.95787E+03    0.43734E+01    0.71783E-03    0.43734E+01    0.97052E-01   -0.44397E-05    0.71783E-03   -0.44397E-05    0.35351E-08
     5    0.90590E+03    0.40671E+01    0.56612E-03    0.40671E+01    0.87380E-01   -0.32276E-05    0.56612E-03   -0.32276E-05    0.26275E-08
     6    0.86801E+03    0.35553E+01    0.46026E-03    0.35553E+01    0.65706E-01   -0.21452E-05    0.46026E-03   -0.21452E-05    0.20456E-08
     7    0.84163E+03    0.29811E+01    0.38298E-03    0.29811E+01    0.42609E-01   -0.12524E-05    0.38298E-03   -0.12524E-05    0.16457E-08
     8    0.82383E+03    0.24318E+01    0.32420E-03    0.24318E+01    0.24901E-01   -0.57428E-06    0.32420E-03   -0.57428E-06    0.13567E-08
     9    0.81258E+03    0.19544E+01    0.27791E-03    0.19544E+01    0.14508E-01   -0.10766E-06    0.27791E-03   -0.10766E-06    0.11400E-08
    10    0.80643E+03    0.15753E+01    0.24074E-03    0.15753E+01    0.99368E-02    0.17533E-06    0.24074E-03    0.17533E-06    0.97259E-09
    11    0.80393E+03    0.13044E+01    0.21076E-03    0.13044E+01    0.84894E-02    0.31359E-06    0.21076E-03    0.31359E-06    0.84034E-09
    12    0.80527E+03    0.11413E+01    0.18639E-03    0.11413E+01    0.79893E-02    0.34207E-06    0.18639E-03    0.34207E-06    0.73350E-09
    13    0.80864E+03    0.10661E+01    0.16633E-03    0.10661E+01    0.73131E-02    0.29301E-06    0.16633E-03    0.29301E-06    0.64610E-09
    14    0.81310E+03    0.10538E+01    0.14946E-03    0.10538E+01    0.64417E-02    0.19857E-06    0.14946E-03    0.19857E-06    0.57340E-09
    15    0.81897E+03    0.10862E+01    0.13503E-03    0.10862E+01    0.56742E-02    0.92047E-07    0.13503E-03    0.92047E-07    0.51232E-09
    16    0.82666E+03    0.11473E+01    0.12247E-03    0.11473E+01    0.52843E-02    0.17039E-08    0.12247E-03    0.17039E-08    0.46039E-09
    17    0.83608E+03    0.12207E+01    0.11155E-03    0.12207E+01    0.53461E-02   -0.65319E-07    0.11155E-03   -0.65319E-07    0.41592E-09
    18    0.84625E+03    0.12930E+01    0.10208E-03    0.12930E+01    0.56750E-02   -0.10807E-06    0.10208E-03   -0.10807E-06    0.37749E-09
    19    0.85801E+03    0.13578E+01    0.93792E-04    0.13578E+01    0.60993E-02   -0.12920E-06    0.93792E-04   -0.12920E-06    0.34405E-09
    20    0.86968E+03    0.14094E+01    0.86426E-04    0.14094E+01    0.65392E-02   -0.13188E-06    0.86426E-04   -0.13188E-06    0.31473E-09
    21    0.88161E+03    0.14522E+01    0.79842E-04    0.14522E+01    0.70021E-02   -0.11772E-06    0.79842E-04   -0.11772E-06    0.28889E-09
    22    0.89410E+03    0.14911E+01    0.73937E-04    0.14911E+01    0.76005E-02   -0.89696E-07    0.73937E-04   -0.89696E-07    0.26602E-09
    23    0.90695E+03    0.15274E+01    0.68641E-04    0.15274E+01    0.84202E-02   -0.57811E-07    0.68641E-04   -0.57811E-07    0.24567E-09
    24    0.92021E+03    0.15619E+01    0.63886E-04    0.15619E+01    0.94944E-02   -0.32076E-07    0.63886E-04   -0.32076E-07    0.22747E-09
    25    0.93382E+03    0.15977E+01    0.59604E-04    0.15977E+01    0.10843E-01   -0.15473E-07    0.59604E-04   -0.15473E-07    0.21114E-09
    26    0.94759E+03    0.16390E+01    0.55727E-04    0.16390E+01    0.12436E-01   -0.82613E-08    0.55727E-04   -0.82613E-08    0.19642E-09
    27    0.96176E+03    0.16832E+01    0.52203E-04    0.16832E+01    0.14229E-01   -0.68214E-08    0.52203E-04   -0.68214E-08    0.18313E-09
    28    0.97617E+03    0.17279E+01    0.48990E-04    0.17279E+01    0.16205E-01   -0.75437E-08    0.48990E-04   -0.75437E-08    0.17107E-09
    29    0.99090E+03    0.17719E+01    0.46066E-04    0.17719E+01    0.18369E-01   -0.10724E-07    0.46066E-04   -0.10724E-07    0.16010E-09
