#    L    TT             EE             BB             TE          
     2    0.10973E+04    0.51755E-01    0.15720E-05    0.34005E+01
     3    0.10252E+04    0.85304E-01    0.31444E-05    0.42487E+01
     4    0.95788E+03    0.97060E-01    0.52418E-05    0.43734E+01
     5    0.90591E+03    0.87390E-01    0.78648E-05    0.40671E+01
     6    0.86804E+03    0.65718E-01    0.11014E-04    0.35553E+01
     7    0.84166E+03    0.42624E-01    0.14691E-04    0.29811E+01
     8    0.82386E+03    0.24920E-01    0.18896E-04    0.24318E+01
     9    0.81263E+03    0.14531E-01    0.23631E-04    0.19544E+01
    10    0.80648E+03    0.99658E-02    0.28897E-04    0.15753E+01
    11    0.80400E+03    0.85242E-02    0.34695E-04    0.13043E+01
    12    0.80535E+03    0.80305E-02    0.41028E-04    0.11413E+01
    13    0.80873E+03    0.73611E-02    0.47896E-04    0.10661E+01
    14    0.81321E+03    0.64970E-02    0.55302E-04    0.10538E+01
    15    0.81909E+03    0.57374E-02    0.63246E-04    0.10861E+01
    16    0.82679E+03    0.53560E-02    0.71732E-04    0.11473E+01
    17    0.83623E+03    0.54269E-02    0.80761E-04    0.12207E+01
    18    0.84642E+03    0.57654E-02    0.90334E-04    0.12929E+01
    19    0.85820E+03    0.61997E-02    0.10045E-03    0.13577E+01
    20    0.86988E+03    0.66502E-02    0.11112E-03    0.14092E+01
    21    0.88184E+03    0.71243E-02    0.12234E-03    0.14520E+01
    22    0.89434E+03    0.77344E-02    0.13411E-03    0.14909E+01
    23    0.90721E+03    0.85665E-02    0.14643E-03    0.15272E+01
    24    0.92049E+03    0.96534E-02    0.15931E-03    0.15616E+01
    25    0.93412E+03    0.11015E-01    0.17275E-03    0.15974E+01
    26    0.94792E+03    0.12622E-01    0.18674E-03    0.16387E+01
    27    0.96210E+03    0.14430E-01    0.20130E-03    0.16829E+01
    28    0.97654E+03    0.16421E-01    0.21641E-03    0.17275E+01
    29    0.99130E+03    0.18600E-01    0.23209E-03    0.17714E+01
    30    0.10063E+04    0.20981E-01    0.24833E-03    0.18120E+01
    31    0.10213E+04    0.23548E-01    0.26514E-03    0.18459E+01
    32    0.10368E+04    0.26276E-01    0.28251E-03    0.18701E+01
    33    0.10525E+04    0.29176E-01    0.30044E-03    0.18826E+01
