#    L    TT             EE             BB             TE          
     2    0.11105E+04    0.53711E-01    0.14710E-05    0.33934E+01
     3    0.10366E+04    0.87267E-01    0.29425E-05    0.42366E+01
     4    0.96743E+03    0.97589E-01    0.49053E-05    0.43471E+01
     5    0.91405E+03    0.86140E-01    0.73599E-05    0.40261E+01
     6    0.87518E+03    0.63364E-01    0.10307E-04    0.35032E+01
     7    0.84812E+03    0.40191E-01    0.13748E-04    0.29232E+01
     8    0.82983E+03    0.23144E-01    0.17684E-04    0.23736E+01
     9    0.81827E+03    0.13599E-01    0.22115E-04    0.19005E+01
    10    0.81193E+03    0.96346E-02    0.27044E-04    0.15293E+01
    11    0.80932E+03    0.84205E-02    0.32471E-04    0.12688E+01
    12    0.81059E+03    0.78958E-02    0.38398E-04    0.11178E+01
    13    0.81397E+03    0.71194E-02    0.44826E-04    0.10536E+01
    14    0.81851E+03    0.62224E-02    0.51758E-04    0.10490E+01
    15    0.82449E+03    0.55053E-02    0.59195E-04    0.10854E+01
    16    0.83231E+03    0.52025E-02    0.67139E-04    0.11473E+01
    17    0.84188E+03    0.53332E-02    0.75592E-04    0.12189E+01
    18    0.85225E+03    0.56709E-02    0.84554E-04    0.12879E+01
    19    0.86424E+03    0.60671E-02    0.94029E-04    0.13484E+01
    20    0.87617E+03    0.64789E-02    0.10402E-03    0.13954E+01
    21    0.88839E+03    0.69406E-02    0.11452E-03    0.14344E+01
    22    0.90119E+03    0.75800E-02    0.12554E-03    0.14710E+01
    23    0.91436E+03    0.84636E-02    0.13708E-03    0.15066E+01
    24    0.92797E+03    0.96002E-02    0.14915E-03    0.15420E+01
    25    0.94195E+03    0.11001E-01    0.16173E-03    0.15797E+01
    26    0.95612E+03    0.12634E-01    0.17484E-03    0.16229E+01
    27    0.97070E+03    0.14454E-01    0.18847E-03    0.16687E+01
    28    0.98556E+03    0.16447E-01    0.20263E-03    0.17142E+01
    29    0.10007E+04    0.18623E-01    0.21731E-03    0.17579E+01
    30    0.10162E+04    0.20997E-01    0.23252E-03    0.17969E+01
    31    0.10317E+04    0.23553E-01    0.24827E-03    0.18284E+01
    32    0.10476E+04    0.26263E-01    0.26454E-03    0.18497E+01
    33    0.10638E+04    0.29141E-01    0.28134E-03    0.18584E+01
    34    0.10803E+04    0.32216E-01    0.29868E-03    0.18541E+01
    35    0.10969E+04    0.35503E-01    0.31654E-03    0.18406E+01
    36    0.11136E+04    0.39017E-01    0.33494E-03    0.18201E+01
    37    0.11304E+04    0.42757E-01    0.35386E-03    0.17885E+01
    38    0.11475E+04    0.46728E-01    0.37332E-03    0.17434E+01
    39    0.11651E+04    0.50941E-01    0.39331E-03    0.16874E+01
    40    0.11828E+04    0.55413E-01    0.41383E-03    0.16241E+01
    41    0.12007E+04    0.60163E-01    0.43488E-03    0.15557E+01
    42    0.12186E+04    0.65192E-01    0.45646E-03    0.14802E+01
    43    0.12367E+04    0.70498E-01    0.47856E-03    0.13946E+01
    44    0.12547E+04    0.76063E-01    0.50120E-03    0.12968E+01
    45    0.12731E+04    0.81882E-01    0.52436E-03    0.11847E+01
    46    0.12918E+04    0.87952E-01    0.54805E-03    0.10551E+01
    47    0.13106E+04    0.94274E-01    0.57226E-03    0.90974E+00
    48    0.13295E+04    0.10086E+00    0.59700E-03    0.75443E+00
    49    0.13485E+04    0.10769E+00    0.62226E-03    0.59428E+00
    50    0.13680E+04    0.11474E+00    0.64804E-03    0.42765E+00
    51    0.13876E+04    0.12200E+00    0.67435E-03    0.25105E+00
    52    0.14076E+04    0.12954E+00    0.70117E-03    0.59214E-01
    53    0.14276E+04    0.13752E+00    0.72851E-03   -0.15171E+00
    54    0.14475E+04    0.14591E+00    0.75637E-03   -0.37761E+00
    55    0.14676E+04    0.15469E+00    0.78474E-03   -0.61425E+00
    56    0.14880E+04    0.16373E+00    0.81363E-03   -0.86348E+00
    57    0.15087E+04    0.17290E+00    0.84303E-03   -0.11251E+01
