#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.11105E+04    0.53710E-01    0.00000E+00    0.33934E+01    0.49477E-07    0.33591E-02   -0.16232E-04
     3    0.10366E+04    0.87264E-01    0.00000E+00    0.42366E+01    0.60180E-07    0.33447E-02   -0.19783E-04
     4    0.96742E+03    0.97584E-01    0.00000E+00    0.43471E+01    0.69307E-07    0.32590E-02   -0.19846E-04
     5    0.91404E+03    0.86132E-01    0.00000E+00    0.40261E+01    0.77213E-07    0.31463E-02   -0.17420E-04
     6    0.87516E+03    0.63354E-01    0.00000E+00    0.35032E+01    0.84100E-07    0.30252E-02   -0.13417E-04
     7    0.84809E+03    0.40177E-01    0.00000E+00    0.29232E+01    0.90152E-07    0.29055E-02   -0.87274E-05
     8    0.82980E+03    0.23127E-01    0.00000E+00    0.23736E+01    0.95498E-07    0.27878E-02   -0.41654E-05
     9    0.81823E+03    0.13577E-01    0.00000E+00    0.19005E+01    0.10025E-06    0.26713E-02   -0.36256E-06
    10    0.81187E+03    0.96076E-02    0.00000E+00    0.15293E+01    0.10447E-06    0.25580E-02    0.23444E-05
    11    0.80925E+03    0.83880E-02    0.00000E+00    0.12689E+01    0.10826E-06    0.24531E-02    0.38927E-05
    12    0.81052E+03    0.78574E-02    0.00000E+00    0.11178E+01    0.11164E-06    0.23585E-02    0.43401E-05
    13    0.81388E+03    0.70746E-02    0.00000E+00    0.10536E+01    0.11465E-06    0.22727E-02    0.38420E-05
    14    0.81841E+03    0.61707E-02    0.00000E+00    0.10490E+01    0.11735E-06    0.21936E-02    0.26192E-05
    15    0.82438E+03    0.54462E-02    0.00000E+00    0.10854E+01    0.11977E-06    0.21185E-02    0.10977E-05
    16    0.83218E+03    0.51353E-02    0.00000E+00    0.11474E+01    0.12192E-06    0.20455E-02   -0.31033E-06
    17    0.84174E+03    0.52577E-02    0.00000E+00    0.12190E+01    0.12385E-06    0.19758E-02   -0.14194E-05
    18    0.85209E+03    0.55864E-02    0.00000E+00    0.12880E+01    0.12558E-06    0.19109E-02   -0.21343E-05
    19    0.86406E+03    0.59731E-02    0.00000E+00    0.13485E+01    0.12712E-06    0.18500E-02   -0.24940E-05
    20    0.87598E+03    0.63750E-02    0.00000E+00    0.13956E+01    0.12847E-06    0.17917E-02   -0.25525E-05
    21    0.88818E+03    0.68261E-02    0.00000E+00    0.14345E+01    0.12966E-06    0.17356E-02   -0.22981E-05
    22    0.90096E+03    0.74545E-02    0.00000E+00    0.14711E+01    0.13071E-06    0.16816E-02   -0.17466E-05
    23    0.91411E+03    0.83266E-02    0.00000E+00    0.15068E+01    0.13163E-06    0.16300E-02   -0.10897E-05
    24    0.92770E+03    0.94513E-02    0.00000E+00    0.15422E+01    0.13243E-06    0.15813E-02   -0.53608E-06
    25    0.94166E+03    0.10840E-01    0.00000E+00    0.15800E+01    0.13311E-06    0.15352E-02   -0.19509E-06
    26    0.95581E+03    0.12459E-01    0.00000E+00    0.16232E+01    0.13369E-06    0.14914E-02   -0.11337E-06
    27    0.97037E+03    0.14266E-01    0.00000E+00    0.16690E+01    0.13417E-06    0.14497E-02   -0.18679E-06
    28    0.98520E+03    0.16245E-01    0.00000E+00    0.17146E+01    0.13457E-06    0.14097E-02   -0.30095E-06
