#    L    TT             EE             TE             PP             TP          
     2    0.11105E+04    0.53710E-01    0.33934E+01    0.10263E+07    0.31312E+05
     3    0.10366E+04    0.87264E-01    0.42366E+01    0.15800E+07    0.37203E+05
     4    0.96742E+03    0.97584E-01    0.43471E+01    0.20703E+07    0.39935E+05
     5    0.91404E+03    0.86132E-01    0.40261E+01    0.25026E+07    0.40988E+05
     6    0.87516E+03    0.63354E-01    0.35032E+01    0.28839E+07    0.41112E+05
     7    0.84809E+03    0.40177E-01    0.29232E+01    0.32215E+07    0.40725E+05
     8    0.82980E+03    0.23127E-01    0.23736E+01    0.35218E+07    0.40010E+05
     9    0.81823E+03    0.13577E-01    0.19005E+01    0.37900E+07    0.39058E+05
    10    0.81187E+03    0.96076E-02    0.15293E+01    0.40298E+07    0.37970E+05
    11    0.80925E+03    0.83880E-02    0.12689E+01    0.42459E+07    0.36869E+05
    12    0.81052E+03    0.78574E-02    0.11178E+01    0.44398E+07    0.35820E+05
    13    0.81388E+03    0.70746E-02    0.10536E+01    0.46140E+07    0.34825E+05
    14    0.81841E+03    0.61707E-02    0.10490E+01    0.47712E+07    0.33872E+05
    15    0.82438E+03    0.54462E-02    0.10854E+01    0.49130E+07    0.32932E+05
    16    0.83218E+03    0.51353E-02    0.11474E+01    0.50409E+07    0.31984E+05
    17    0.84174E+03    0.52577E-02    0.12190E+01    0.51563E+07    0.31055E+05
    18    0.85209E+03    0.55864E-02    0.12880E+01    0.52606E+07    0.30175E+05
    19    0.86406E+03    0.59731E-02    0.13485E+01    0.53545E+07    0.29334E+05
    20    0.87598E+03    0.63750E-02    0.13956E+01    0.54387E+07    0.28517E+05
    21    0.88818E+03    0.68261E-02    0.14345E+01    0.55141E+07    0.27718E+05
    22    0.90096E+03    0.74545E-02    0.14711E+01    0.55818E+07    0.26939E+05
    23    0.91411E+03    0.83266E-02    0.15068E+01    0.56424E+07    0.26187E+05
    24    0.92770E+03    0.94513E-02    0.15422E+01    0.56962E+07    0.25471E+05
    25    0.94166E+03    0.10840E-01    0.15800E+01    0.57439E+07    0.24787E+05
    26    0.95581E+03    0.12459E-01    0.16232E+01    0.57860E+07    0.24135E+05
    27    0.97037E+03    0.14266E-01    0.16690E+01    0.58230E+07    0.23508E+05
    28    0.98520E+03    0.16245E-01    0.17146E+01    0.58552E+07    0.22904E+05
    29    0.10004E+04    0.18406E-01    0.17584E+01    0.58829E+07    0.22327E+05
    30    0.10158E+04    0.20765E-01    0.17974E+01    0.59059E+07    0.21782E+05
    31    0.10313E+04    0.23305E-01    0.18290E+01    0.59250E+07    0.21261E+05
    32    0.10472E+04    0.25999E-01    0.18503E+01    0.59406E+07    0.20755E+05
    33    0.10634E+04    0.28861E-01    0.18591E+01    0.59530E+07    0.20262E+05
    34    0.10798E+04    0.31919E-01    0.18549E+01    0.59623E+07    0.19778E+05
    35    0.10964E+04    0.35189E-01    0.18415E+01    0.59687E+07    0.19306E+05
    36    0.11130E+04    0.38684E-01    0.18211E+01    0.59724E+07    0.18849E+05
    37    0.11298E+04    0.42406E-01    0.17895E+01    0.59737E+07    0.18415E+05
    38    0.11470E+04    0.46358E-01    0.17445E+01    0.59727E+07    0.18007E+05
    39    0.11645E+04    0.50551E-01    0.16887E+01    0.59695E+07    0.17622E+05
    40    0.11822E+04    0.55004E-01    0.16254E+01    0.59642E+07    0.17251E+05
    41    0.12001E+04    0.59733E-01    0.15571E+01    0.59570E+07    0.16886E+05
    42    0.12179E+04    0.64741E-01    0.14817E+01    0.59480E+07    0.16528E+05
    43    0.12360E+04    0.70025E-01    0.13962E+01    0.59373E+07    0.16179E+05
    44    0.12540E+04    0.75569E-01    0.12985E+01    0.59250E+07    0.15840E+05
    45    0.12723E+04    0.81366E-01    0.11865E+01    0.59112E+07    0.15514E+05
    46    0.12910E+04    0.87413E-01    0.10570E+01    0.58962E+07    0.15200E+05
    47    0.13098E+04    0.93712E-01    0.91176E+00    0.58798E+07    0.14898E+05
    48    0.13286E+04    0.10027E+00    0.75655E+00    0.58624E+07    0.14606E+05
    49    0.13476E+04    0.10708E+00    0.59651E+00    0.58438E+07    0.14319E+05
