#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.11105E+04    0.33934E+01    0.13713E-02    0.33934E+01    0.53710E-01   -0.66266E-05    0.13713E-02   -0.66266E-05    0.82461E-08
     3    0.10366E+04    0.42366E+01    0.96554E-03    0.42366E+01    0.87264E-01   -0.57110E-05    0.96554E-03   -0.57110E-05    0.50150E-08
     4    0.96742E+03    0.43471E+01    0.72874E-03    0.43471E+01    0.97584E-01   -0.44378E-05    0.72874E-03   -0.44378E-05    0.34653E-08
     5    0.91404E+03    0.40261E+01    0.57444E-03    0.40261E+01    0.86132E-01   -0.31805E-05    0.57444E-03   -0.31805E-05    0.25738E-08
     6    0.87516E+03    0.35032E+01    0.46680E-03    0.35032E+01    0.63354E-01   -0.20703E-05    0.46680E-03   -0.20703E-05    0.20024E-08
     7    0.84809E+03    0.29232E+01    0.38826E-03    0.29232E+01    0.40177E-01   -0.11662E-05    0.38826E-03   -0.11662E-05    0.16099E-08
     8    0.82980E+03    0.23736E+01    0.32855E-03    0.23736E+01    0.23127E-01   -0.49090E-06    0.32855E-03   -0.49090E-06    0.13264E-08
     9    0.81823E+03    0.19005E+01    0.28158E-03    0.19005E+01    0.13577E-01   -0.38217E-07    0.28158E-03   -0.38217E-07    0.11139E-08
    10    0.81187E+03    0.15293E+01    0.24389E-03    0.15293E+01    0.96076E-02    0.22353E-06    0.24389E-03    0.22353E-06    0.94975E-09
    11    0.80925E+03    0.12689E+01    0.21352E-03    0.12689E+01    0.83880E-02    0.33881E-06    0.21352E-03    0.33881E-06    0.82016E-09
    12    0.81052E+03    0.11178E+01    0.18881E-03    0.11178E+01    0.78574E-02    0.34804E-06    0.18881E-03    0.34804E-06    0.71552E-09
    13    0.81388E+03    0.10536E+01    0.16846E-03    0.10536E+01    0.70746E-02    0.28479E-06    0.16846E-03    0.28479E-06    0.62995E-09
    14    0.81841E+03    0.10490E+01    0.15137E-03    0.10490E+01    0.61707E-02    0.18140E-06    0.15137E-03    0.18140E-06    0.55879E-09
    15    0.82438E+03    0.10854E+01    0.13675E-03    0.10854E+01    0.54462E-02    0.70855E-07    0.13675E-03    0.70855E-07    0.49902E-09
    16    0.83218E+03    0.11474E+01    0.12403E-03    0.11474E+01    0.51353E-02   -0.18953E-07    0.12403E-03   -0.18953E-07    0.44824E-09
