#    L    TT             EE             BB             TE          
     2   0.975394E+03   0.513294E-01   0.159513E-05   0.363018E+01
     3   0.932943E+03   0.848322E-01   0.319076E-05   0.441391E+01
     4   0.886269E+03   0.968903E-01   0.531905E-05   0.448371E+01
     5   0.848798E+03   0.876351E-01   0.798067E-05   0.413839E+01
     6   0.821349E+03   0.662449E-01   0.111764E-04   0.360007E+01
     7   0.802698E+03   0.431952E-01   0.149073E-04   0.300819E+01
     8   0.790809E+03   0.253515E-01   0.191743E-04   0.244760E+01
     9   0.784214E+03   0.147625E-01   0.239789E-04   0.196319E+01
    10   0.781779E+03   0.100440E-01   0.293222E-04   0.157966E+01
    11   0.782299E+03   0.853753E-02   0.352058E-04   0.130536E+01
    12   0.786100E+03   0.804703E-02   0.416312E-04   0.113995E+01
    13   0.791507E+03   0.740508E-02   0.486002E-04   0.106351E+01
    14   0.797674E+03   0.655389E-02   0.561143E-04   0.105104E+01
    15   0.804985E+03   0.578828E-02   0.641755E-04   0.108382E+01
    16   0.813921E+03   0.538823E-02   0.727855E-04   0.114549E+01
    17   0.824412E+03   0.544217E-02   0.819463E-04   0.121955E+01
    18   0.835507E+03   0.577765E-02   0.916596E-04   0.129286E+01
    19   0.848060E+03   0.621879E-02   0.101927E-03   0.135887E+01
    20   0.860420E+03   0.667774E-02   0.112751E-03   0.141163E+01
    21   0.872961E+03   0.715498E-02   0.124134E-03   0.145524E+01
    22   0.885979E+03   0.775819E-02   0.136076E-03   0.149429E+01
    23   0.899292E+03   0.857622E-02   0.148579E-03   0.153027E+01
    24   0.912962E+03   0.964687E-02   0.161646E-03   0.156439E+01
    25   0.926931E+03   0.109937E-01   0.175278E-03   0.159992E+01
    26   0.941015E+03   0.125904E-01   0.189477E-03   0.164083E+01
    27   0.955455E+03   0.143903E-01   0.204243E-03   0.168470E+01
    28   0.970111E+03   0.163754E-01   0.219578E-03   0.172912E+01
    29   0.985046E+03   0.185497E-01   0.235483E-03   0.177303E+01
    30   0.100018E+04   0.209259E-01   0.251959E-03   0.181395E+01
    31   0.101538E+04   0.234895E-01   0.269008E-03   0.184863E+01
    32   0.103088E+04   0.262158E-01   0.286629E-03   0.187391E+01
    33   0.104671E+04   0.291153E-01   0.304823E-03   0.188762E+01
    34   0.106268E+04   0.322137E-01   0.323591E-03   0.188937E+01
    35   0.107879E+04   0.355129E-01   0.342933E-03   0.188172E+01
    36   0.109497E+04   0.390190E-01   0.362849E-03   0.186573E+01
    37   0.111123E+04   0.427437E-01   0.383340E-03   0.183741E+01
    38   0.112786E+04   0.467053E-01   0.404404E-03   0.179491E+01
    39   0.114485E+04   0.509126E-01   0.426042E-03   0.174115E+01
    40   0.116193E+04   0.553780E-01   0.448254E-03   0.168001E+01
    41   0.117922E+04   0.601159E-01   0.471038E-03   0.161407E+01
    42   0.119648E+04   0.651306E-01   0.494394E-03   0.154148E+01
    43   0.121387E+04   0.704232E-01   0.518321E-03   0.145932E+01
    44   0.123121E+04   0.759802E-01   0.542818E-03   0.136553E+01
    45   0.124890E+04   0.817984E-01   0.567885E-03   0.125814E+01
    46   0.126684E+04   0.878774E-01   0.593521E-03   0.113394E+01
    47   0.128490E+04   0.942148E-01   0.619723E-03   0.994560E+00
    48   0.130302E+04   0.100815E+00   0.646491E-03   0.845522E+00
    49   0.132128E+04   0.107659E+00   0.673824E-03   0.691747E+00
    50   0.133991E+04   0.114722E+00   0.701721E-03   0.531374E+00
    51   0.135870E+04   0.121976E+00   0.730180E-03   0.360746E+00
    52   0.137787E+04   0.129505E+00   0.759200E-03   0.174645E+00
    53   0.139703E+04   0.137461E+00   0.788780E-03  -0.306846E-01
    54   0.141611E+04   0.145835E+00   0.818919E-03  -0.251032E+00
    55   0.143531E+04   0.154608E+00   0.849615E-03  -0.482071E+00
    56   0.145487E+04   0.163637E+00   0.880868E-03  -0.725542E+00
    57   0.147470E+04   0.172814E+00   0.912677E-03  -0.981153E+00
    58   0.149481E+04   0.182147E+00   0.945040E-03  -0.124934E+01
    59   0.151507E+04   0.191675E+00   0.977956E-03  -0.153055E+01
    60   0.153547E+04   0.201450E+00   0.101143E-02  -0.182380E+01
    61   0.155633E+04   0.211565E+00   0.104545E-02  -0.212807E+01
    62   0.157705E+04   0.222006E+00   0.108002E-02  -0.244449E+01
    63   0.159786E+04   0.232729E+00   0.111515E-02  -0.277433E+01
    64   0.161907E+04   0.243746E+00   0.115083E-02  -0.311914E+01
    65   0.164029E+04   0.255028E+00   0.118706E-02  -0.347982E+01
    66   0.166184E+04   0.266507E+00   0.122384E-02  -0.385472E+01
    67   0.168353E+04   0.278186E+00   0.126118E-02  -0.424092E+01
    68   0.170565E+04   0.290107E+00   0.129906E-02  -0.463650E+01
    69   0.172794E+04   0.302232E+00   0.133750E-02  -0.503944E+01
    70   0.175054E+04   0.314605E+00   0.137650E-02  -0.545115E+01
    71   0.177326E+04   0.327214E+00   0.141605E-02  -0.587384E+01
    72   0.179616E+04   0.340034E+00   0.145616E-02  -0.630892E+01
    73   0.181920E+04   0.353029E+00   0.149682E-02  -0.675711E+01
    74   0.184242E+04   0.366186E+00   0.153805E-02  -0.721764E+01
    75   0.186595E+04   0.379515E+00   0.157984E-02  -0.768915E+01
    76   0.188974E+04   0.393014E+00   0.162219E-02  -0.817110E+01
    77   0.191384E+04   0.406676E+00   0.166511E-02  -0.866334E+01
    78   0.193830E+04   0.420525E+00   0.170859E-02  -0.916729E+01
    79   0.196292E+04   0.434506E+00   0.175264E-02  -0.967916E+01
    80   0.198783E+04   0.448622E+00   0.179727E-02  -0.102004E+02
    81   0.201291E+04   0.462822E+00   0.184247E-02  -0.107314E+02
    82   0.203824E+04   0.477128E+00   0.188825E-02  -0.112713E+02
    83   0.206376E+04   0.491515E+00   0.193461E-02  -0.118196E+02
    84   0.208952E+04   0.505980E+00   0.198156E-02  -0.123746E+02
    85   0.211541E+04   0.520499E+00   0.202909E-02  -0.129372E+02
    86   0.214148E+04   0.535083E+00   0.207721E-02  -0.135064E+02
    87   0.216797E+04   0.549704E+00   0.212592E-02  -0.140814E+02
    88   0.219443E+04   0.564376E+00   0.217523E-02  -0.146622E+02
    89   0.222125E+04   0.579085E+00   0.222513E-02  -0.152503E+02
    90   0.224826E+04   0.593794E+00   0.227564E-02  -0.158427E+02
    91   0.227541E+04   0.608496E+00   0.232676E-02  -0.164403E+02
    92   0.230284E+04   0.623176E+00   0.237848E-02  -0.170423E+02
    93   0.233055E+04   0.637828E+00   0.243082E-02  -0.176488E+02
    94   0.235833E+04   0.652414E+00   0.248377E-02  -0.182582E+02
    95   0.238638E+04   0.666937E+00   0.253735E-02  -0.188715E+02
    96   0.241442E+04   0.681380E+00   0.259154E-02  -0.194880E+02
    97   0.244289E+04   0.695731E+00   0.264636E-02  -0.201068E+02
    98   0.247158E+04   0.709982E+00   0.270181E-02  -0.207260E+02
    99   0.250033E+04   0.724096E+00   0.275789E-02  -0.213484E+02
   100   0.252936E+04   0.738075E+00   0.281461E-02  -0.219697E+02
   101   0.255853E+04   0.751978E+00   0.287197E-02  -0.225929E+02
   102   0.258822E+04   0.765657E+00   0.292997E-02  -0.232158E+02
   103   0.261781E+04   0.779188E+00   0.298862E-02  -0.238392E+02
   104   0.264763E+04   0.792570E+00   0.304792E-02  -0.244602E+02
   105   0.267758E+04   0.805730E+00   0.310787E-02  -0.250804E+02
   106   0.270776E+04   0.818743E+00   0.316847E-02  -0.256990E+02
   107   0.273785E+04   0.831462E+00   0.322974E-02  -0.263146E+02
   108   0.276831E+04   0.843960E+00   0.329167E-02  -0.269280E+02
   109   0.279891E+04   0.856164E+00   0.335427E-02  -0.275378E+02
   110   0.282958E+04   0.868075E+00   0.341755E-02  -0.281425E+02
   111   0.286039E+04   0.879767E+00   0.348149E-02  -0.287436E+02
   112   0.289136E+04   0.891168E+00   0.354612E-02  -0.293405E+02
   113   0.292253E+04   0.902277E+00   0.361142E-02  -0.299316E+02
   114   0.295378E+04   0.913020E+00   0.367742E-02  -0.305162E+02
   115   0.298525E+04   0.923547E+00   0.374410E-02  -0.310942E+02
   116   0.301670E+04   0.933635E+00   0.381148E-02  -0.316649E+02
   117   0.304845E+04   0.943358E+00   0.387956E-02  -0.322275E+02
   118   0.308034E+04   0.952866E+00   0.394834E-02  -0.327828E+02
   119   0.311221E+04   0.962011E+00   0.401783E-02  -0.333285E+02
   120   0.314423E+04   0.970644E+00   0.408804E-02  -0.338646E+02
   121   0.317624E+04   0.979064E+00   0.415896E-02  -0.343911E+02
   122   0.320831E+04   0.986973E+00   0.423060E-02  -0.349072E+02
   123   0.324044E+04   0.994446E+00   0.430297E-02  -0.354130E+02
   124   0.327263E+04   0.100156E+01   0.437607E-02  -0.359054E+02
   125   0.330481E+04   0.100823E+01   0.444991E-02  -0.363866E+02
   126   0.333705E+04   0.101455E+01   0.452450E-02  -0.368559E+02
   127   0.336928E+04   0.102036E+01   0.459983E-02  -0.373126E+02
   128   0.340149E+04   0.102581E+01   0.467592E-02  -0.377558E+02
   129   0.343375E+04   0.103075E+01   0.475277E-02  -0.381849E+02
   130   0.346600E+04   0.103519E+01   0.483039E-02  -0.385991E+02
   131   0.349824E+04   0.103926E+01   0.490879E-02  -0.389998E+02
   132   0.353053E+04   0.104283E+01   0.498796E-02  -0.393841E+02
   133   0.356273E+04   0.104597E+01   0.506792E-02  -0.397544E+02
   134   0.359492E+04   0.104868E+01   0.514867E-02  -0.401061E+02
   135   0.362710E+04   0.105089E+01   0.523022E-02  -0.404424E+02
   136   0.365911E+04   0.105259E+01   0.531258E-02  -0.407595E+02
   137   0.369112E+04   0.105386E+01   0.539575E-02  -0.410597E+02
   138   0.372304E+04   0.105463E+01   0.547974E-02  -0.413416E+02
   139   0.375473E+04   0.105505E+01   0.556456E-02  -0.416046E+02
   140   0.378649E+04   0.105489E+01   0.565021E-02  -0.418493E+02
   141   0.381803E+04   0.105423E+01   0.573671E-02  -0.420736E+02
   142   0.384955E+04   0.105314E+01   0.582405E-02  -0.422784E+02
   143   0.388101E+04   0.105163E+01   0.591224E-02  -0.424636E+02
   144   0.391223E+04   0.104961E+01   0.600130E-02  -0.426286E+02
   145   0.394331E+04   0.104725E+01   0.609122E-02  -0.427726E+02
   146   0.397447E+04   0.104431E+01   0.618202E-02  -0.428958E+02
   147   0.400526E+04   0.104103E+01   0.627369E-02  -0.429967E+02
   148   0.403590E+04   0.103725E+01   0.636625E-02  -0.430768E+02
   149   0.406647E+04   0.103304E+01   0.645971E-02  -0.431347E+02
   150   0.409675E+04   0.102849E+01   0.655406E-02  -0.431682E+02
   151   0.412689E+04   0.102351E+01   0.664931E-02  -0.431804E+02
   152   0.415674E+04   0.101804E+01   0.674547E-02  -0.431697E+02
   153   0.418645E+04   0.101222E+01   0.684254E-02  -0.431339E+02
   154   0.421594E+04   0.100606E+01   0.694053E-02  -0.430753E+02
   155   0.424522E+04   0.999542E+00   0.703944E-02  -0.429932E+02
   156   0.427412E+04   0.992680E+00   0.713928E-02  -0.428875E+02
   157   0.430296E+04   0.985469E+00   0.724004E-02  -0.427567E+02
   158   0.433150E+04   0.977985E+00   0.734173E-02  -0.426016E+02
   159   0.435975E+04   0.970077E+00   0.744436E-02  -0.424223E+02
   160   0.438778E+04   0.961896E+00   0.754792E-02  -0.422172E+02
   161   0.441558E+04   0.953514E+00   0.765241E-02  -0.419878E+02
   162   0.444309E+04   0.944783E+00   0.775785E-02  -0.417342E+02
   163   0.447045E+04   0.935778E+00   0.786422E-02  -0.414548E+02
   164   0.449736E+04   0.926571E+00   0.797154E-02  -0.411511E+02
   165   0.452413E+04   0.917090E+00   0.807979E-02  -0.408209E+02
   166   0.455059E+04   0.907481E+00   0.818898E-02  -0.404658E+02
   167   0.457684E+04   0.897523E+00   0.829910E-02  -0.400864E+02
   168   0.460263E+04   0.887586E+00   0.841017E-02  -0.396806E+02
   169   0.462812E+04   0.877373E+00   0.852216E-02  -0.392483E+02
   170   0.465331E+04   0.867106E+00   0.863508E-02  -0.387911E+02
   171   0.467805E+04   0.856786E+00   0.874894E-02  -0.383066E+02
   172   0.470241E+04   0.846338E+00   0.886371E-02  -0.377965E+02
   173   0.472632E+04   0.835762E+00   0.897941E-02  -0.372607E+02
   174   0.474993E+04   0.825355E+00   0.909602E-02  -0.366992E+02
   175   0.477316E+04   0.814818E+00   0.921354E-02  -0.361112E+02
   176   0.479586E+04   0.804376E+00   0.933197E-02  -0.354969E+02
   177   0.481819E+04   0.793952E+00   0.945130E-02  -0.348576E+02
   178   0.484006E+04   0.783769E+00   0.957152E-02  -0.341920E+02
   179   0.486148E+04   0.773529E+00   0.969263E-02  -0.335001E+02
   180   0.488260E+04   0.763453E+00   0.981462E-02  -0.327832E+02
