#           k/h    P           
   0.100000E-03   0.546875E+03
   0.102020E-03   0.557471E+03
   0.104081E-03   0.568272E+03
   0.106184E-03   0.579283E+03
   0.108329E-03   0.590506E+03
   0.110517E-03   0.601946E+03
   0.112750E-03   0.613608E+03
   0.115027E-03   0.625495E+03
   0.117351E-03   0.637612E+03
   0.119722E-03   0.649964E+03
   0.122140E-03   0.662555E+03
   0.124608E-03   0.675389E+03
   0.127125E-03   0.688471E+03
   0.129693E-03   0.701806E+03
   0.132313E-03   0.715400E+03
   0.134986E-03   0.729255E+03
   0.137713E-03   0.743379E+03
   0.140495E-03   0.757776E+03
   0.143333E-03   0.772451E+03
   0.146228E-03   0.787410E+03
   0.149182E-03   0.802657E+03
   0.152196E-03   0.818199E+03
   0.155271E-03   0.834042E+03
   0.158407E-03   0.850190E+03
   0.161607E-03   0.866651E+03
   0.164872E-03   0.883429E+03
   0.168203E-03   0.900531E+03
   0.171601E-03   0.917963E+03
   0.175067E-03   0.935731E+03
   0.178604E-03   0.953842E+03
   0.182212E-03   0.972303E+03
   0.185893E-03   0.991120E+03
   0.189648E-03   0.101030E+04
   0.193479E-03   0.102985E+04
   0.197388E-03   0.104977E+04
   0.201375E-03   0.107009E+04
   0.205443E-03   0.109079E+04
   0.209594E-03   0.111189E+04
   0.213828E-03   0.113339E+04
   0.218147E-03   0.115531E+04
   0.222554E-03   0.117766E+04
   0.227050E-03   0.120043E+04
   0.231637E-03   0.122364E+04
   0.236316E-03   0.124730E+04
   0.241090E-03   0.127141E+04
   0.245960E-03   0.129598E+04
   0.250929E-03   0.132103E+04
   0.255998E-03   0.134656E+04
   0.261170E-03   0.137258E+04
   0.266446E-03   0.139909E+04
   0.271828E-03   0.142612E+04
   0.277319E-03   0.145367E+04
   0.282922E-03   0.148174E+04
   0.288637E-03   0.151035E+04
   0.294468E-03   0.153951E+04
   0.300417E-03   0.156922E+04
   0.306485E-03   0.159951E+04
   0.312677E-03   0.163037E+04
   0.318993E-03   0.166182E+04
   0.325437E-03   0.169388E+04
   0.332012E-03   0.172655E+04
   0.338719E-03   0.175984E+04
   0.345561E-03   0.179376E+04
   0.352542E-03   0.182833E+04
   0.359664E-03   0.186356E+04
   0.366930E-03   0.189946E+04
   0.374342E-03   0.193604E+04
   0.381904E-03   0.197332E+04
   0.389619E-03   0.201131E+04
   0.397490E-03   0.205001E+04
   0.405520E-03   0.208946E+04
   0.413712E-03   0.212964E+04
   0.422070E-03   0.217059E+04
   0.430596E-03   0.221232E+04
   0.439295E-03   0.225483E+04
   0.448169E-03   0.229815E+04
   0.457222E-03   0.234228E+04
   0.466459E-03   0.238724E+04
   0.475882E-03   0.243305E+04
   0.485496E-03   0.247973E+04
   0.495303E-03   0.252727E+04
   0.505309E-03   0.257572E+04
   0.515517E-03   0.262507E+04
   0.525931E-03   0.267534E+04
   0.536556E-03   0.272655E+04
   0.547395E-03   0.277873E+04
   0.558453E-03   0.283187E+04
   0.569734E-03   0.288601E+04
   0.581244E-03   0.294115E+04
   0.592986E-03   0.299732E+04
   0.604965E-03   0.305453E+04
   0.617186E-03   0.311280E+04
   0.629654E-03   0.317214E+04
   0.642374E-03   0.323259E+04
   0.655350E-03   0.329415E+04
   0.668589E-03   0.335684E+04
   0.682096E-03   0.342069E+04
   0.695875E-03   0.348570E+04
   0.709933E-03   0.355191E+04
   0.724274E-03   0.361933E+04
   0.738906E-03   0.368798E+04
   0.753832E-03   0.375789E+04
   0.769061E-03   0.382906E+04
   0.784597E-03   0.390152E+04
   0.800447E-03   0.397530E+04
   0.816617E-03   0.405041E+04
   0.833114E-03   0.412687E+04
   0.849944E-03   0.420471E+04
   0.867114E-03   0.428395E+04
   0.884631E-03   0.436461E+04
   0.902501E-03   0.444670E+04
   0.920733E-03   0.453026E+04
   0.939333E-03   0.461531E+04
   0.958309E-03   0.470186E+04
   0.977668E-03   0.478994E+04
   0.997418E-03   0.487958E+04
   0.101757E-02   0.497079E+04
   0.103812E-02   0.506359E+04
   0.105910E-02   0.515802E+04
   0.108049E-02   0.525409E+04
   0.110232E-02   0.535183E+04
   0.112459E-02   0.545126E+04
   0.114730E-02   0.555240E+04
   0.117048E-02   0.565528E+04
   0.119413E-02   0.575991E+04
   0.121825E-02   0.586633E+04
   0.124286E-02   0.597455E+04
   0.126797E-02   0.608461E+04
   0.129358E-02   0.619651E+04
   0.131971E-02   0.631029E+04
   0.134637E-02   0.642597E+04
   0.137357E-02   0.654357E+04
   0.140132E-02   0.666311E+04
   0.142963E-02   0.678462E+04
   0.145851E-02   0.690811E+04
   0.148797E-02   0.703362E+04
   0.151803E-02   0.716116E+04
   0.154870E-02   0.729075E+04
   0.157998E-02   0.742241E+04
   0.161190E-02   0.755617E+04
   0.164446E-02   0.769204E+04
   0.167768E-02   0.783006E+04
   0.171158E-02   0.797022E+04
   0.174615E-02   0.811256E+04
   0.178143E-02   0.825710E+04
   0.181741E-02   0.840385E+04
   0.185413E-02   0.855282E+04
   0.189158E-02   0.870404E+04
   0.192980E-02   0.885753E+04
   0.196878E-02   0.901329E+04
   0.200855E-02   0.917135E+04
   0.204913E-02   0.933171E+04
   0.209052E-02   0.949439E+04
   0.213276E-02   0.965941E+04
   0.217584E-02   0.982677E+04
   0.221979E-02   0.999648E+04
   0.226464E-02   0.101686E+05
   0.231039E-02   0.103430E+05
   0.235706E-02   0.105198E+05
   0.240467E-02   0.106991E+05
   0.245325E-02   0.108807E+05
   0.250281E-02   0.110647E+05
   0.255337E-02   0.112511E+05
   0.260495E-02   0.114399E+05
   0.265758E-02   0.116311E+05
   0.271126E-02   0.118247E+05
   0.276603E-02   0.120207E+05
   0.282191E-02   0.122191E+05
   0.287892E-02   0.124199E+05
   0.293708E-02   0.126231E+05
   0.299641E-02   0.128286E+05
   0.305694E-02   0.130365E+05
   0.311870E-02   0.132467E+05
   0.318170E-02   0.134592E+05
   0.324597E-02   0.136741E+05
   0.331155E-02   0.138912E+05
   0.337844E-02   0.141107E+05
   0.344669E-02   0.143323E+05
   0.351632E-02   0.145562E+05
   0.358735E-02   0.147823E+05
   0.365982E-02   0.150105E+05
   0.373376E-02   0.152408E+05
   0.380918E-02   0.154733E+05
   0.388613E-02   0.157078E+05
   0.396464E-02   0.159443E+05
   0.404473E-02   0.161827E+05
   0.412644E-02   0.164231E+05
   0.420980E-02   0.166653E+05
   0.429484E-02   0.169093E+05
   0.438160E-02   0.171551E+05
   0.447012E-02   0.174025E+05
   0.456042E-02   0.176516E+05
   0.465255E-02   0.179022E+05
   0.474653E-02   0.181544E+05
   0.484242E-02   0.184079E+05
   0.494024E-02   0.186627E+05
   0.504004E-02   0.189188E+05
   0.514186E-02   0.191760E+05
   0.524573E-02   0.194343E+05
   0.535170E-02   0.196935E+05
   0.545981E-02   0.199535E+05
   0.557011E-02   0.202144E+05
   0.568263E-02   0.204759E+05
   0.579743E-02   0.207380E+05
   0.591455E-02   0.210006E+05
   0.603403E-02   0.212635E+05
   0.615592E-02   0.215265E+05
   0.628028E-02   0.217896E+05
   0.640715E-02   0.220524E+05
   0.653658E-02   0.223149E+05
   0.666863E-02   0.225769E+05
   0.680335E-02   0.228383E+05
   0.694078E-02   0.230990E+05
   0.708100E-02   0.233587E+05
   0.722404E-02   0.236173E+05
   0.736998E-02   0.238747E+05
   0.751886E-02   0.241307E+05
   0.767075E-02   0.243850E+05
   0.782571E-02   0.246374E+05
   0.798380E-02   0.248878E+05
   0.814509E-02   0.251359E+05
   0.830963E-02   0.253816E+05
   0.847750E-02   0.256245E+05
   0.864875E-02   0.258646E+05
   0.882347E-02   0.261015E+05
   0.900171E-02   0.263350E+05
   0.918356E-02   0.265648E+05
   0.936908E-02   0.267908E+05
   0.955835E-02   0.270126E+05
