#    L    TT             EE             TE             PP             TP          
     2   0.975391E+03   0.513278E-01   0.363018E+01   0.104789E+07   0.230118E+05
     3   0.932937E+03   0.848290E-01   0.441391E+01   0.161538E+07   0.280868E+05
     4   0.886259E+03   0.968850E-01   0.448371E+01   0.211903E+07   0.306222E+05
     5   0.848783E+03   0.876272E-01   0.413840E+01   0.256408E+07   0.317600E+05
     6   0.821327E+03   0.662337E-01   0.360007E+01   0.295735E+07   0.321022E+05
     7   0.802669E+03   0.431803E-01   0.300819E+01   0.330647E+07   0.319968E+05
     8   0.790772E+03   0.253324E-01   0.244760E+01   0.361757E+07   0.315887E+05
     9   0.784168E+03   0.147385E-01   0.196320E+01   0.389605E+07   0.309479E+05
    10   0.781724E+03   0.100147E-01   0.157967E+01   0.414567E+07   0.301655E+05
    11   0.782232E+03   0.850233E-02   0.130537E+01   0.437101E+07   0.293628E+05
    12   0.786022E+03   0.800540E-02   0.113997E+01   0.457375E+07   0.286033E+05
    13   0.791416E+03   0.735648E-02   0.106354E+01   0.475636E+07   0.278868E+05
    14   0.797569E+03   0.649779E-02   0.105108E+01   0.492153E+07   0.271975E+05
    15   0.804866E+03   0.572412E-02   0.108387E+01   0.507096E+07   0.265088E+05
    16   0.813787E+03   0.531547E-02   0.114554E+01   0.520610E+07   0.258026E+05
    17   0.824261E+03   0.536026E-02   0.121962E+01   0.532847E+07   0.251080E+05
    18   0.835340E+03   0.568603E-02   0.129294E+01   0.543943E+07   0.244549E+05
    19   0.847875E+03   0.611692E-02   0.135897E+01   0.553967E+07   0.238313E+05
    20   0.860217E+03   0.656506E-02   0.141176E+01   0.562984E+07   0.232186E+05
    21   0.872740E+03   0.703094E-02   0.145539E+01   0.571102E+07   0.226142E+05
    22   0.885738E+03   0.762224E-02   0.149447E+01   0.578428E+07   0.220211E+05
    23   0.899032E+03   0.842781E-02   0.153048E+01   0.585014E+07   0.214466E+05
    24   0.912680E+03   0.948544E-02   0.156464E+01   0.590902E+07   0.208977E+05
    25   0.926628E+03   0.108187E-01   0.160020E+01   0.596152E+07   0.203729E+05
    26   0.940690E+03   0.124013E-01   0.164116E+01   0.600825E+07   0.198691E+05
    27   0.955108E+03   0.141865E-01   0.168507E+01   0.604969E+07   0.193836E+05
    28   0.969741E+03   0.161564E-01   0.172955E+01   0.608621E+07   0.189156E+05
    29   0.984653E+03   0.183149E-01   0.177352E+01   0.611788E+07   0.184705E+05
    30   0.999763E+03   0.206748E-01   0.181449E+01   0.614483E+07   0.180527E+05
    31   0.101494E+04   0.232215E-01   0.184924E+01   0.616760E+07   0.176539E+05
    32   0.103042E+04   0.259303E-01   0.187458E+01   0.618677E+07   0.172649E+05
    33   0.104622E+04   0.288119E-01   0.188836E+01   0.620254E+07   0.168827E+05
    34   0.106217E+04   0.318918E-01   0.189019E+01   0.621509E+07   0.165068E+05
    35   0.107825E+04   0.351720E-01   0.188262E+01   0.622462E+07   0.161396E+05
    36   0.109440E+04   0.386586E-01   0.186671E+01   0.623135E+07   0.157845E+05
    37   0.111063E+04   0.423632E-01   0.183848E+01   0.623549E+07   0.154470E+05
    38   0.112724E+04   0.463042E-01   0.179608E+01   0.623720E+07   0.151306E+05
    39   0.114420E+04   0.504905E-01   0.174241E+01   0.623663E+07   0.148306E+05
    40   0.116126E+04   0.549342E-01   0.168137E+01   0.623388E+07   0.145397E+05
    41   0.117852E+04   0.596501E-01   0.161553E+01   0.622907E+07   0.142525E+05
    42   0.119575E+04   0.646422E-01   0.154305E+01   0.622232E+07   0.139695E+05
    43   0.121311E+04   0.699118E-01   0.146099E+01   0.621377E+07   0.136926E+05
    44   0.123043E+04   0.754453E-01   0.136731E+01   0.620354E+07   0.134238E+05
    45   0.124808E+04   0.812395E-01   0.126003E+01   0.619176E+07   0.131651E+05
    46   0.126600E+04   0.872941E-01   0.113594E+01   0.617856E+07   0.129178E+05
    47   0.128403E+04   0.936067E-01   0.996669E+00   0.616403E+07   0.126801E+05
    48   0.130212E+04   0.100181E+00   0.847741E+00   0.614826E+07   0.124495E+05
    49   0.132035E+04   0.107000E+00   0.694075E+00   0.613133E+07   0.122235E+05
    50   0.133895E+04   0.114037E+00   0.533810E+00   0.611333E+07   0.119997E+05
    51   0.135771E+04   0.121264E+00   0.363288E+00   0.609435E+07   0.117763E+05
    52   0.137685E+04   0.128767E+00   0.177291E+00   0.607444E+07   0.115555E+05
    53   0.139598E+04   0.136695E+00  -0.279392E-01   0.605367E+07   0.113402E+05
    54   0.141503E+04   0.145042E+00  -0.248191E+00   0.603208E+07   0.111334E+05
    55   0.143420E+04   0.153788E+00  -0.479140E+00   0.600973E+07   0.109381E+05
    56   0.145373E+04   0.162788E+00  -0.722526E+00   0.598668E+07   0.107563E+05
    57   0.147353E+04   0.171937E+00  -0.978060E+00   0.596296E+07   0.105858E+05
    58   0.149361E+04   0.181241E+00  -0.124617E+01   0.593861E+07   0.104235E+05
    59   0.151383E+04   0.190740E+00  -0.152732E+01   0.591365E+07   0.102665E+05
    60   0.153421E+04   0.200486E+00  -0.182053E+01   0.588812E+07   0.101115E+05
    61   0.155504E+04   0.210572E+00  -0.212476E+01   0.586206E+07   0.995611E+04
    62   0.157572E+04   0.220982E+00  -0.244114E+01   0.583552E+07   0.980037E+04
    63   0.159650E+04   0.231676E+00  -0.277097E+01   0.580854E+07   0.964494E+04
    64   0.161767E+04   0.242663E+00  -0.311576E+01   0.578118E+07   0.949048E+04
    65   0.163887E+04   0.253915E+00  -0.347645E+01   0.575349E+07   0.933765E+04
    66   0.166038E+04   0.265363E+00  -0.385138E+01   0.572552E+07   0.918716E+04
    67   0.168204E+04   0.277011E+00  -0.423763E+01   0.569729E+07   0.903983E+04
    68   0.170413E+04   0.288902E+00  -0.463326E+01   0.566884E+07   0.889654E+04
    69   0.172639E+04   0.300997E+00  -0.503628E+01   0.564019E+07   0.875815E+04
    70   0.174895E+04   0.313338E+00  -0.544810E+01   0.561136E+07   0.862554E+04
    71   0.177165E+04   0.325917E+00  -0.587091E+01   0.558237E+07   0.849929E+04
    72   0.179451E+04   0.338706E+00  -0.630612E+01   0.555324E+07   0.837884E+04
    73   0.181752E+04   0.351670E+00  -0.675448E+01   0.552396E+07   0.826336E+04
    74   0.184071E+04   0.364796E+00  -0.721519E+01   0.549454E+07   0.815201E+04
    75   0.186421E+04   0.378093E+00  -0.768692E+01   0.546499E+07   0.804395E+04
    76   0.188797E+04   0.391562E+00  -0.816911E+01   0.543531E+07   0.793843E+04
    77   0.191204E+04   0.405193E+00  -0.866163E+01   0.540552E+07   0.783508E+04
    78   0.193647E+04   0.419011E+00  -0.916587E+01   0.537564E+07   0.773360E+04
    79   0.196107E+04   0.432961E+00  -0.967807E+01   0.534570E+07   0.763371E+04
    80   0.198594E+04   0.447046E+00  -0.101996E+02   0.531572E+07   0.753512E+04
    81   0.201100E+04   0.461215E+00  -0.107310E+02   0.528571E+07   0.743758E+04
    82   0.203630E+04   0.475490E+00  -0.112714E+02   0.525570E+07   0.734097E+04
    83   0.206178E+04   0.489845E+00  -0.118202E+02   0.522569E+07   0.724521E+04
    84   0.208753E+04   0.504280E+00  -0.123756E+02   0.519571E+07   0.715021E+04
    85   0.211338E+04   0.518767E+00  -0.129387E+02   0.516576E+07   0.705591E+04
    86   0.213943E+04   0.533321E+00  -0.135085E+02   0.513586E+07   0.696228E+04
    87   0.216589E+04   0.547911E+00  -0.140841E+02   0.510603E+07   0.686964E+04
    88   0.219234E+04   0.562553E+00  -0.146655E+02   0.507626E+07   0.677837E+04
    89   0.221913E+04   0.577231E+00  -0.152543E+02   0.504656E+07   0.668884E+04
    90   0.224612E+04   0.591909E+00  -0.158475E+02   0.501695E+07   0.660144E+04
    91   0.227325E+04   0.606579E+00  -0.164459E+02   0.498743E+07   0.651647E+04
    92   0.230066E+04   0.621229E+00  -0.170487E+02   0.495800E+07   0.643391E+04
    93   0.232835E+04   0.635849E+00  -0.176560E+02   0.492868E+07   0.635368E+04
    94   0.235610E+04   0.650405E+00  -0.182664E+02   0.489945E+07   0.627566E+04
    95   0.238414E+04   0.664896E+00  -0.188806E+02   0.487034E+07   0.619977E+04
    96   0.241217E+04   0.679309E+00  -0.194980E+02   0.484133E+07   0.612591E+04
    97   0.244063E+04   0.693628E+00  -0.201179E+02   0.481244E+07   0.605398E+04
    98   0.246930E+04   0.707847E+00  -0.207381E+02   0.478367E+07   0.598388E+04
    99   0.249803E+04   0.721930E+00  -0.213617E+02   0.475502E+07   0.591553E+04
   100   0.252706E+04   0.735877E+00  -0.219841E+02   0.472649E+07   0.584882E+04
   101   0.255622E+04   0.749748E+00  -0.226086E+02   0.469810E+07   0.578366E+04
   102   0.258589E+04   0.763395E+00  -0.232328E+02   0.466984E+07   0.571996E+04
   103   0.261549E+04   0.776892E+00  -0.238575E+02   0.464171E+07   0.565761E+04
   104   0.264530E+04   0.790241E+00  -0.244799E+02   0.461373E+07   0.559651E+04
   105   0.267525E+04   0.803368E+00  -0.251015E+02   0.458589E+07   0.553659E+04
   106   0.270542E+04   0.816347E+00  -0.257216E+02   0.455821E+07   0.547773E+04
   107   0.273551E+04   0.829031E+00  -0.263387E+02   0.453067E+07   0.541984E+04
   108   0.276596E+04   0.841494E+00  -0.269537E+02   0.450329E+07   0.536283E+04
   109   0.279657E+04   0.853663E+00  -0.275651E+02   0.447607E+07   0.530659E+04
   110   0.282724E+04   0.865537E+00  -0.281715E+02   0.444901E+07   0.525105E+04
   111   0.285807E+04   0.877193E+00  -0.287744E+02   0.442213E+07   0.519610E+04
   112   0.288903E+04   0.888556E+00  -0.293731E+02   0.439541E+07   0.514175E+04
   113   0.292022E+04   0.899626E+00  -0.299661E+02   0.436886E+07   0.508800E+04
   114   0.295148E+04   0.910330E+00  -0.305525E+02   0.434247E+07   0.503487E+04
   115   0.298295E+04   0.920816E+00  -0.311325E+02   0.431626E+07   0.498235E+04
   116   0.301443E+04   0.930862E+00  -0.317052E+02   0.429022E+07   0.493046E+04
   117   0.304619E+04   0.940543E+00  -0.322698E+02   0.426435E+07   0.487921E+04
   118   0.307809E+04   0.950008E+00  -0.328272E+02   0.423865E+07   0.482860E+04
   119   0.310999E+04   0.959107E+00  -0.333751E+02   0.421312E+07   0.477864E+04
   120   0.314202E+04   0.967694E+00  -0.339133E+02   0.418776E+07   0.472934E+04
   121   0.317405E+04   0.976066E+00  -0.344421E+02   0.416258E+07   0.468071E+04
   122   0.320615E+04   0.983926E+00  -0.349605E+02   0.413757E+07   0.463275E+04
   123   0.323830E+04   0.991348E+00  -0.354686E+02   0.411273E+07   0.458548E+04
   124   0.327052E+04   0.998407E+00  -0.359633E+02   0.408806E+07   0.453890E+04
   125   0.330273E+04   0.100503E+01  -0.364470E+02   0.406358E+07   0.449302E+04
   126   0.333500E+04   0.101129E+01  -0.369188E+02   0.403926E+07   0.444785E+04
   127   0.336726E+04   0.101704E+01  -0.373780E+02   0.401512E+07   0.440339E+04
   128   0.339951E+04   0.102243E+01  -0.378238E+02   0.399116E+07   0.435966E+04
   129   0.343181E+04   0.102731E+01  -0.382555E+02   0.396737E+07   0.431666E+04
   130   0.346410E+04   0.103168E+01  -0.386722E+02   0.394376E+07   0.427440E+04
   131   0.349638E+04   0.103569E+01  -0.390756E+02   0.392032E+07   0.423288E+04
   132   0.352871E+04   0.103919E+01  -0.394626E+02   0.389706E+07   0.419209E+04
   133   0.356096E+04   0.104226E+01  -0.398356E+02   0.387398E+07   0.415200E+04
   134   0.359319E+04   0.104489E+01  -0.401901E+02   0.385107E+07   0.411258E+04
   135   0.362541E+04   0.104702E+01  -0.405291E+02   0.382833E+07   0.407381E+04
   136   0.365748E+04   0.104864E+01  -0.408490E+02   0.380577E+07   0.403567E+04
   137   0.368954E+04   0.104983E+01  -0.411521E+02   0.378338E+07   0.399813E+04
   138   0.372152E+04   0.105051E+01  -0.414369E+02   0.376116E+07   0.396117E+04
   139   0.375326E+04   0.105084E+01  -0.417027E+02   0.373910E+07   0.392476E+04
   140   0.378508E+04   0.105058E+01  -0.419503E+02   0.371722E+07   0.388889E+04
   141   0.381668E+04   0.104983E+01  -0.421776E+02   0.369550E+07   0.385351E+04
   142   0.384827E+04   0.104864E+01  -0.423852E+02   0.367395E+07   0.381862E+04
   143   0.387978E+04   0.104702E+01  -0.425734E+02   0.365257E+07   0.378419E+04
   144   0.391108E+04   0.104490E+01  -0.427413E+02   0.363135E+07   0.375019E+04
   145   0.394223E+04   0.104243E+01  -0.428883E+02   0.361029E+07   0.371659E+04
   146   0.397345E+04   0.103937E+01  -0.430144E+02   0.358940E+07   0.368338E+04
   147   0.400431E+04   0.103597E+01  -0.431183E+02   0.356867E+07   0.365053E+04
   148   0.403503E+04   0.103206E+01  -0.432013E+02   0.354810E+07   0.361802E+04
   149   0.406568E+04   0.102773E+01  -0.432621E+02   0.352768E+07   0.358581E+04
   150   0.409604E+04   0.102304E+01  -0.432986E+02   0.350743E+07   0.355389E+04
   151   0.412626E+04   0.101793E+01  -0.433136E+02   0.348734E+07   0.352224E+04
   152   0.415620E+04   0.101231E+01  -0.433058E+02   0.346740E+07   0.349086E+04
   153   0.418599E+04   0.100635E+01  -0.432730E+02   0.344762E+07   0.345974E+04
   154   0.421557E+04   0.100003E+01  -0.432172E+02   0.342799E+07   0.342889E+04
   155   0.424494E+04   0.993359E+00  -0.431379E+02   0.340852E+07   0.339831E+04
   156   0.427394E+04   0.986335E+00  -0.430350E+02   0.338920E+07   0.336801E+04
   157   0.430287E+04   0.978957E+00  -0.429070E+02   0.337004E+07   0.333799E+04
   158   0.433151E+04   0.971300E+00  -0.427546E+02   0.335103E+07   0.330825E+04
   159   0.435986E+04   0.963215E+00  -0.425780E+02   0.333216E+07   0.327879E+04
   160   0.438798E+04   0.954850E+00  -0.423755E+02   0.331345E+07   0.324962E+04
   161   0.441589E+04   0.946280E+00  -0.421487E+02   0.329488E+07   0.322074E+04
   162   0.444351E+04   0.937354E+00  -0.418976E+02   0.327647E+07   0.319215E+04
   163   0.447098E+04   0.928148E+00  -0.416207E+02   0.325820E+07   0.316386E+04
   164   0.449800E+04   0.918736E+00  -0.413195E+02   0.324007E+07   0.313586E+04
   165   0.452488E+04   0.909043E+00  -0.409917E+02   0.322209E+07   0.310816E+04
   166   0.455146E+04   0.899216E+00  -0.406389E+02   0.320426E+07   0.308077E+04
   167   0.457781E+04   0.889034E+00  -0.402617E+02   0.318657E+07   0.305368E+04
   168   0.460372E+04   0.878868E+00  -0.398580E+02   0.316902E+07   0.302690E+04
   169   0.462934E+04   0.868419E+00  -0.394278E+02   0.315161E+07   0.300042E+04
   170   0.465465E+04   0.857911E+00  -0.389726E+02   0.313434E+07   0.297427E+04
   171   0.467951E+04   0.847343E+00  -0.384900E+02   0.311722E+07   0.294842E+04
   172   0.470400E+04   0.836641E+00  -0.379817E+02   0.310023E+07   0.292290E+04
   173   0.472804E+04   0.825804E+00  -0.374476E+02   0.308338E+07   0.289770E+04
   174   0.475177E+04   0.815130E+00  -0.368878E+02   0.306667E+07   0.287282E+04
   175   0.477513E+04   0.804321E+00  -0.363014E+02   0.305009E+07   0.284827E+04
   176   0.479797E+04   0.793599E+00  -0.356884E+02   0.303365E+07   0.282404E+04
   177   0.482043E+04   0.782890E+00  -0.350505E+02   0.301734E+07   0.280014E+04
   178   0.484243E+04   0.772415E+00  -0.343861E+02   0.300116E+07   0.277655E+04
   179   0.486399E+04   0.761877E+00  -0.336952E+02   0.298512E+07   0.275327E+04
   180   0.488525E+04   0.751497E+00  -0.329794E+02   0.296920E+07   0.273028E+04
   181   0.490599E+04   0.741275E+00  -0.322386E+02   0.295342E+07   0.270759E+04
   182   0.492628E+04   0.731283E+00  -0.314714E+02   0.293776E+07   0.268518E+04
   183   0.494606E+04   0.721448E+00  -0.306792E+02   0.292223E+07   0.266304E+04
   184   0.496546E+04   0.711842E+00  -0.298614E+02   0.290682E+07   0.264116E+04
   185   0.498442E+04   0.702612E+00  -0.290203E+02   0.289154E+07   0.261955E+04
   186   0.500257E+04   0.693618E+00  -0.281527E+02   0.287638E+07   0.259819E+04
   187   0.502058E+04   0.684999E+00  -0.272604E+02   0.286134E+07   0.257706E+04
   188   0.503807E+04   0.676740E+00  -0.263446E+02   0.284642E+07   0.255618E+04
   189   0.505497E+04   0.668876E+00  -0.254041E+02   0.283162E+07   0.253552E+04
   190   0.507174E+04   0.661459E+00  -0.244410E+02   0.281694E+07   0.251508E+04
   191   0.508762E+04   0.654511E+00  -0.234523E+02   0.280238E+07   0.249485E+04
   192   0.510314E+04   0.648052E+00  -0.224404E+02   0.278793E+07   0.247482E+04
   193   0.511807E+04   0.642127E+00  -0.214067E+02   0.277359E+07   0.245499E+04
   194   0.513265E+04   0.636764E+00  -0.203490E+02   0.275937E+07   0.243534E+04
   195   0.514665E+04   0.632000E+00  -0.192695E+02   0.274526E+07   0.241588E+04
   196   0.516006E+04   0.627870E+00  -0.181676E+02   0.273126E+07   0.239658E+04
   197   0.517305E+04   0.624419E+00  -0.170447E+02   0.271736E+07   0.237745E+04
   198   0.518553E+04   0.621668E+00  -0.159001E+02   0.270358E+07   0.235848E+04
   199   0.519750E+04   0.619654E+00  -0.147346E+02   0.268990E+07   0.233965E+04
   200   0.520898E+04   0.618404E+00  -0.135489E+02   0.267633E+07   0.232097E+04
   201   0.521988E+04   0.617978E+00  -0.123423E+02   0.266286E+07   0.230241E+04
   202   0.523028E+04   0.618381E+00  -0.111163E+02   0.264950E+07   0.228399E+04
   203   0.524011E+04   0.619670E+00  -0.987001E+01   0.263623E+07   0.226570E+04
   204   0.524928E+04   0.621865E+00  -0.860653E+01   0.262307E+07   0.224754E+04
   205   0.525796E+04   0.625010E+00  -0.732357E+01   0.261001E+07   0.222951E+04
   206   0.526598E+04   0.629138E+00  -0.602237E+01   0.259705E+07   0.221161E+04
   207   0.527351E+04   0.634269E+00  -0.470337E+01   0.258419E+07   0.219384E+04
   208   0.528032E+04   0.640455E+00  -0.336707E+01   0.257143E+07   0.217619E+04
   209   0.528655E+04   0.647714E+00  -0.201383E+01   0.255876E+07   0.215867E+04
