#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.975391E+03   0.363018E+01   0.246866E-02   0.363018E+01   0.513278E-01  -0.159042E-04   0.246866E-02  -0.159042E-04   0.505158E-07
     3   0.932937E+03   0.441391E+01   0.252513E-02   0.441391E+01   0.848290E-01  -0.195451E-04   0.252513E-02  -0.195451E-04   0.615292E-07
     4   0.886259E+03   0.448371E+01   0.249905E-02   0.448371E+01   0.968850E-01  -0.198557E-04   0.249905E-02  -0.198557E-04   0.709388E-07
     5   0.848783E+03   0.413840E+01   0.243796E-02   0.413840E+01   0.876272E-01  -0.177378E-04   0.243796E-02  -0.177378E-04   0.791083E-07
     6   0.821327E+03   0.360007E+01   0.236227E-02   0.360007E+01   0.662337E-01  -0.140188E-04   0.236227E-02  -0.140188E-04   0.862431E-07
     7   0.802669E+03   0.300819E+01   0.228280E-02   0.300819E+01   0.431803E-01  -0.952919E-05   0.228280E-02  -0.952919E-05   0.925286E-07
     8   0.790772E+03   0.244760E+01   0.220107E-02   0.244760E+01   0.253324E-01  -0.504650E-05   0.220107E-02  -0.504650E-05   0.980955E-07
     9   0.784168E+03   0.196320E+01   0.211661E-02   0.196320E+01   0.147385E-01  -0.118555E-05   0.211661E-02  -0.118555E-05   0.103055E-06
    10   0.781724E+03   0.157967E+01   0.203223E-02   0.157967E+01   0.100147E-01   0.170476E-05   0.203223E-02   0.170476E-05   0.107475E-06
    11   0.782232E+03   0.130537E+01   0.195368E-02   0.130537E+01   0.850233E-02   0.351328E-05   0.195368E-02   0.351328E-05   0.111452E-06
    12   0.786022E+03   0.113997E+01   0.188333E-02   0.113997E+01   0.800540E-02   0.422974E-05   0.188333E-02   0.422974E-05   0.115007E-06
    13   0.791416E+03   0.106354E+01   0.181991E-02   0.106354E+01   0.735648E-02   0.396785E-05   0.181991E-02   0.396785E-05   0.118188E-06
    14   0.797569E+03   0.105108E+01   0.176135E-02   0.105108E+01   0.649779E-02   0.292320E-05   0.176135E-02   0.292320E-05   0.121047E-06
    15   0.804866E+03   0.108387E+01   0.170532E-02   0.108387E+01   0.572412E-02   0.150163E-05   0.170532E-02   0.150163E-05   0.123616E-06
    16   0.813787E+03   0.114554E+01   0.165018E-02   0.114554E+01   0.531547E-02   0.105988E-06   0.165018E-02   0.105988E-06   0.125921E-06
    17   0.824261E+03   0.121962E+01   0.159743E-02   0.121962E+01   0.536026E-02  -0.108306E-05   0.159743E-02  -0.108306E-05   0.127990E-06
    18   0.835340E+03   0.129294E+01   0.154867E-02   0.129294E+01   0.568603E-02  -0.196173E-05   0.154867E-02  -0.196173E-05   0.129850E-06
    19   0.847875E+03   0.135897E+01   0.150292E-02   0.135897E+01   0.611692E-02  -0.251145E-05   0.150292E-02  -0.251145E-05   0.131512E-06
    20   0.860217E+03   0.141176E+01   0.145879E-02   0.141176E+01   0.656506E-02  -0.272842E-05   0.145879E-02  -0.272842E-05   0.132985E-06
    21   0.872740E+03   0.145539E+01   0.141599E-02   0.145539E+01   0.703094E-02  -0.258266E-05   0.141599E-02  -0.258266E-05   0.134291E-06
    22   0.885738E+03   0.149447E+01   0.137458E-02   0.149447E+01   0.762224E-02  -0.208509E-05   0.137458E-02  -0.208509E-05   0.135453E-06
    23   0.899032E+03   0.153048E+01   0.133493E-02   0.153048E+01   0.842781E-02  -0.143648E-05   0.133493E-02  -0.143648E-05   0.136477E-06
    24   0.912680E+03   0.156464E+01   0.129737E-02   0.156464E+01   0.948544E-02  -0.855977E-06   0.129737E-02  -0.855977E-06   0.137373E-06
    25   0.926628E+03   0.160020E+01   0.126176E-02   0.160020E+01   0.108187E-01  -0.446404E-06   0.126176E-02  -0.446404E-06   0.138150E-06
