#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.102411E-04   0.208348E+08   0.192151E+08   0.256068E+08   0.256064E+08   0.192173E+08   0.205564E+08   0.205628E+08   0.205633E+08  -0.464394E+00   0.982220E+07   0.982220E+07   0.574081E+01
   0.113070E-04   0.208347E+08   0.192151E+08   0.256039E+08   0.256034E+08   0.192173E+08   0.205564E+08   0.205628E+08   0.205633E+08  -0.464394E+00   0.982220E+07   0.982220E+07   0.633811E+01
   0.124838E-04   0.208347E+08   0.192151E+08   0.256003E+08   0.255997E+08   0.192173E+08   0.205564E+08   0.205628E+08   0.205633E+08  -0.464394E+00   0.982220E+07   0.982220E+07   0.699750E+01
   0.137831E-04   0.208347E+08   0.192151E+08   0.255960E+08   0.255953E+08   0.192172E+08   0.205564E+08   0.205628E+08   0.205633E+08  -0.464394E+00   0.982219E+07   0.982219E+07   0.772543E+01
   0.152176E-04   0.208347E+08   0.192151E+08   0.255907E+08   0.255898E+08   0.192172E+08   0.205564E+08   0.205628E+08   0.205632E+08  -0.464394E+00   0.982219E+07   0.982219E+07   0.852900E+01
   0.168014E-04   0.208347E+08   0.192151E+08   0.255842E+08   0.255832E+08   0.192172E+08   0.205564E+08   0.205628E+08   0.205632E+08  -0.464393E+00   0.982218E+07   0.982218E+07   0.941605E+01
   0.185500E-04   0.208347E+08   0.192150E+08   0.255764E+08   0.255751E+08   0.192171E+08   0.205564E+08   0.205627E+08   0.205632E+08  -0.464393E+00   0.982217E+07   0.982217E+07   0.103952E+02
   0.204806E-04   0.208347E+08   0.192150E+08   0.255668E+08   0.255652E+08   0.192171E+08   0.205564E+08   0.205627E+08   0.205632E+08  -0.464392E+00   0.982216E+07   0.982216E+07   0.114760E+02
   0.226121E-04   0.208347E+08   0.192150E+08   0.255551E+08   0.255532E+08   0.192170E+08   0.205563E+08   0.205627E+08   0.205632E+08  -0.464392E+00   0.982215E+07   0.982215E+07   0.126688E+02
   0.249655E-04   0.208346E+08   0.192150E+08   0.255409E+08   0.255386E+08   0.192170E+08   0.205563E+08   0.205627E+08   0.205631E+08  -0.464391E+00   0.982214E+07   0.982214E+07   0.139853E+02
   0.275639E-04   0.208346E+08   0.192150E+08   0.255235E+08   0.255207E+08   0.192169E+08   0.205563E+08   0.205626E+08   0.205631E+08  -0.464390E+00   0.982212E+07   0.982212E+07   0.154381E+02
   0.304326E-04   0.208345E+08   0.192149E+08   0.255024E+08   0.254990E+08   0.192168E+08   0.205562E+08   0.205626E+08   0.205630E+08  -0.464389E+00   0.982210E+07   0.982210E+07   0.170411E+02
   0.336000E-04   0.208345E+08   0.192149E+08   0.254767E+08   0.254725E+08   0.192167E+08   0.205562E+08   0.205626E+08   0.205630E+08  -0.464387E+00   0.982208E+07   0.982208E+07   0.188097E+02
   0.370969E-04   0.208344E+08   0.192148E+08   0.254454E+08   0.254403E+08   0.192165E+08   0.205561E+08   0.205625E+08   0.205629E+08  -0.464386E+00   0.982205E+07   0.982205E+07   0.207607E+02
   0.409578E-04   0.208344E+08   0.192147E+08   0.254073E+08   0.254010E+08   0.192164E+08   0.205560E+08   0.205624E+08   0.205628E+08  -0.464383E+00   0.982201E+07   0.982201E+07   0.229124E+02
   0.452206E-04   0.208343E+08   0.192146E+08   0.253608E+08   0.253533E+08   0.192161E+08   0.205560E+08   0.205623E+08   0.205627E+08  -0.464381E+00   0.982197E+07   0.982196E+07   0.252849E+02
   0.499270E-04   0.208342E+08   0.192145E+08   0.253044E+08   0.252952E+08   0.192159E+08   0.205558E+08   0.205622E+08   0.205626E+08  -0.464378E+00   0.982192E+07   0.982191E+07   0.279001E+02
