#    L    TT             EE             BB             TE          
     2   0.101750E+04   0.509378E-01   0.161811E-05   0.366255E+01
     3   0.966792E+03   0.841633E-01   0.323673E-05   0.448604E+01
     4   0.912405E+03   0.965632E-01   0.539568E-05   0.456513E+01
     5   0.869309E+03   0.879495E-01   0.809563E-05   0.420951E+01
     6   0.837892E+03   0.670499E-01   0.113374E-04   0.365476E+01
     7   0.816295E+03   0.441142E-01   0.151220E-04   0.304741E+01
     8   0.802160E+03   0.260589E-01   0.194505E-04   0.247495E+01
     9   0.793841E+03   0.151335E-01   0.243241E-04   0.198154E+01
    10   0.790012E+03   0.101444E-01   0.297443E-04   0.159064E+01
    11   0.789352E+03   0.851623E-02   0.357125E-04   0.131046E+01
    12   0.792124E+03   0.802837E-02   0.422304E-04   0.114064E+01
    13   0.796635E+03   0.743643E-02   0.492995E-04   0.106067E+01
    14   0.802027E+03   0.661186E-02   0.569216E-04   0.104504E+01
    15   0.808660E+03   0.583707E-02   0.650985E-04   0.107558E+01
    16   0.816988E+03   0.539918E-02   0.738321E-04   0.113651E+01
    17   0.826925E+03   0.541352E-02   0.831243E-04   0.121109E+01
    18   0.837510E+03   0.573204E-02   0.929769E-04   0.128568E+01
    19   0.849594E+03   0.617333E-02   0.103392E-03   0.135315E+01
    20   0.861525E+03   0.663652E-02   0.114371E-03   0.140701E+01
    21   0.873668E+03   0.710905E-02   0.125916E-03   0.145121E+01
    22   0.886310E+03   0.768864E-02   0.138029E-03   0.149035E+01
    23   0.899267E+03   0.846652E-02   0.150712E-03   0.152610E+01
    24   0.912598E+03   0.948669E-02   0.163966E-03   0.155989E+01
    25   0.926249E+03   0.107820E-01   0.177792E-03   0.159486E+01
    26   0.940037E+03   0.123338E-01   0.192193E-03   0.163488E+01
    27   0.954194E+03   0.140921E-01   0.207170E-03   0.167784E+01
    28   0.968574E+03   0.160344E-01   0.222724E-03   0.172170E+01
    29   0.983234E+03   0.181639E-01   0.238856E-03   0.176550E+01
    30   0.998089E+03   0.204938E-01   0.255567E-03   0.180686E+01
    31   0.101301E+04   0.230118E-01   0.272858E-03   0.184288E+01
    32   0.102826E+04   0.256944E-01   0.290730E-03   0.187053E+01
    33   0.104383E+04   0.285474E-01   0.309183E-03   0.188696E+01
    34   0.105957E+04   0.315918E-01   0.328219E-03   0.189111E+01
    35   0.107544E+04   0.348322E-01   0.347836E-03   0.188568E+01
    36   0.109139E+04   0.382770E-01   0.368035E-03   0.187207E+01
