#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.101750E+04   0.509362E-01   0.000000E+00   0.366255E+01   0.501610E-07   0.260046E-02  -0.158518E-04
     3   0.966786E+03   0.841601E-01   0.000000E+00   0.448604E+01   0.611665E-07   0.266312E-02  -0.195154E-04
     4   0.912395E+03   0.965578E-01   0.000000E+00   0.456513E+01   0.705864E-07   0.263894E-02  -0.198949E-04
     5   0.869294E+03   0.879414E-01   0.000000E+00   0.420952E+01   0.787793E-07   0.257774E-02  -0.178722E-04
     6   0.837870E+03   0.670386E-01   0.000000E+00   0.365476E+01   0.859477E-07   0.250075E-02  -0.142526E-04
     7   0.816266E+03   0.440991E-01   0.000000E+00   0.304742E+01   0.922744E-07   0.241906E-02  -0.983768E-05
     8   0.802123E+03   0.260394E-01   0.000000E+00   0.247495E+01   0.978880E-07   0.233453E-02  -0.538327E-05
     9   0.793795E+03   0.151091E-01   0.000000E+00   0.198154E+01   0.102898E-06   0.224709E-02  -0.150624E-05
    10   0.789955E+03   0.101147E-01   0.000000E+00   0.159065E+01   0.107372E-06   0.215965E-02   0.142845E-05
    11   0.789284E+03   0.848052E-02   0.000000E+00   0.131047E+01   0.111405E-06   0.207786E-02   0.330345E-05
    12   0.792045E+03   0.798614E-02   0.000000E+00   0.114066E+01   0.115017E-06   0.200389E-02   0.411531E-05
    13   0.796543E+03   0.738714E-02   0.000000E+00   0.106069E+01   0.118256E-06   0.193666E-02   0.395769E-05
    14   0.801921E+03   0.655495E-02   0.000000E+00   0.104507E+01   0.121174E-06   0.187451E-02   0.299510E-05
    15   0.808539E+03   0.577199E-02   0.000000E+00   0.107562E+01   0.123802E-06   0.181504E-02   0.161629E-05
    16   0.816853E+03   0.532537E-02   0.000000E+00   0.113656E+01   0.126166E-06   0.175654E-02   0.212357E-06
    17   0.826773E+03   0.533043E-02   0.000000E+00   0.121116E+01   0.128293E-06   0.170043E-02  -0.100725E-05
    18   0.837342E+03   0.563910E-02   0.000000E+00   0.128577E+01   0.130211E-06   0.164825E-02  -0.191072E-05
    19   0.849407E+03   0.606999E-02   0.000000E+00   0.135325E+01   0.131929E-06   0.159917E-02  -0.249233E-05
    20   0.861320E+03   0.652223E-02   0.000000E+00   0.140714E+01   0.133458E-06   0.155196E-02  -0.276327E-05
    21   0.873444E+03   0.698324E-02   0.000000E+00   0.145137E+01   0.134819E-06   0.150619E-02  -0.268111E-05
    22   0.886067E+03   0.755074E-02   0.000000E+00   0.149053E+01   0.136034E-06   0.146174E-02  -0.223731E-05
    23   0.899003E+03   0.831598E-02   0.000000E+00   0.152631E+01   0.137111E-06   0.141902E-02  -0.161080E-05
    24   0.912313E+03   0.932295E-02   0.000000E+00   0.156014E+01   0.138058E-06   0.137840E-02  -0.100644E-05
    25   0.925943E+03   0.106045E-01   0.000000E+00   0.159515E+01   0.138885E-06   0.133982E-02  -0.552742E-06
    26   0.939709E+03   0.121420E-01   0.000000E+00   0.163521E+01   0.139605E-06   0.130304E-02  -0.322814E-06
    27   0.953844E+03   0.138854E-01   0.000000E+00   0.167822E+01   0.140226E-06   0.126782E-02  -0.246151E-06
    28   0.968200E+03   0.158122E-01   0.000000E+00   0.172213E+01   0.140755E-06   0.123398E-02  -0.239591E-06
    29   0.982836E+03   0.179257E-01   0.000000E+00   0.176599E+01   0.141194E-06   0.120184E-02  -0.309754E-06
    30   0.997667E+03   0.202390E-01   0.000000E+00   0.180741E+01   0.141541E-06   0.117164E-02  -0.478913E-06
    31   0.101257E+04   0.227399E-01   0.000000E+00   0.184349E+01   0.141810E-06   0.114294E-02  -0.742952E-06
    32   0.102779E+04   0.254048E-01   0.000000E+00   0.187120E+01   0.142011E-06   0.111520E-02  -0.107172E-05
    33   0.104334E+04   0.282396E-01   0.000000E+00   0.188771E+01   0.142150E-06   0.108818E-02  -0.135722E-05
    34   0.105905E+04   0.312653E-01   0.000000E+00   0.189193E+01   0.142227E-06   0.106174E-02  -0.149376E-05
    35   0.107490E+04   0.344864E-01   0.000000E+00   0.188659E+01   0.142249E-06   0.103595E-02  -0.146086E-05
    36   0.109081E+04   0.379113E-01   0.000000E+00   0.187306E+01   0.142218E-06   0.101096E-02  -0.128065E-05
    37   0.110681E+04   0.415484E-01   0.000000E+00   0.184745E+01   0.142138E-06   0.987170E-03  -0.106054E-05
    38   0.112318E+04   0.454120E-01   0.000000E+00   0.180793E+01   0.142013E-06   0.964891E-03  -0.900290E-06
    39   0.113990E+04   0.495135E-01   0.000000E+00   0.175724E+01   0.141845E-06   0.943802E-03  -0.785379E-06
    40   0.115673E+04   0.538688E-01   0.000000E+00   0.169908E+01   0.141637E-06   0.923433E-03  -0.672910E-06
    41   0.117376E+04   0.584958E-01   0.000000E+00   0.163590E+01   0.141389E-06   0.903418E-03  -0.532170E-06
    42   0.119077E+04   0.633981E-01   0.000000E+00   0.156597E+01   0.141105E-06   0.883777E-03  -0.380566E-06
    43   0.120790E+04   0.685759E-01   0.000000E+00   0.148654E+01   0.140788E-06   0.864630E-03  -0.247434E-06
    44   0.122500E+04   0.740144E-01   0.000000E+00   0.139575E+01   0.140438E-06   0.846096E-03  -0.162024E-06
    45   0.124243E+04   0.797092E-01   0.000000E+00   0.129180E+01   0.140060E-06   0.828295E-03  -0.153498E-06
    46   0.126012E+04   0.856592E-01   0.000000E+00   0.117161E+01   0.139656E-06   0.811299E-03  -0.239791E-06
    47   0.127792E+04   0.918624E-01   0.000000E+00   0.103673E+01   0.139227E-06   0.794993E-03  -0.394192E-06
    48   0.129578E+04   0.983235E-01   0.000000E+00   0.892560E+00   0.138775E-06   0.779214E-03  -0.578932E-06
    49   0.131377E+04   0.105025E+00   0.000000E+00   0.743884E+00   0.138301E-06   0.763802E-03  -0.756343E-06
    50   0.133214E+04   0.111943E+00   0.000000E+00   0.588713E+00   0.137809E-06   0.748596E-03  -0.888856E-06
    51   0.135066E+04   0.119047E+00   0.000000E+00   0.423288E+00   0.137298E-06   0.733491E-03  -0.948848E-06
    52   0.136956E+04   0.126426E+00   0.000000E+00   0.242407E+00   0.136770E-06   0.718603E-03  -0.948187E-06
    53   0.138845E+04   0.134226E+00   0.000000E+00   0.423560E-01   0.136227E-06   0.704103E-03  -0.908563E-06
    54   0.140726E+04   0.142442E+00   0.000000E+00  -0.172609E+00   0.135669E-06   0.690161E-03  -0.851611E-06
    55   0.142620E+04   0.151052E+00   0.000000E+00  -0.398119E+00   0.135097E-06   0.676947E-03  -0.798920E-06
    56   0.144548E+04   0.159914E+00   0.000000E+00  -0.635876E+00   0.134512E-06   0.664576E-03  -0.766796E-06
    57   0.146503E+04   0.168919E+00   0.000000E+00  -0.885576E+00   0.133916E-06   0.652938E-03  -0.750551E-06
    58   0.148486E+04   0.178078E+00   0.000000E+00  -0.114765E+01   0.133308E-06   0.641867E-03  -0.740271E-06
    59   0.150484E+04   0.187428E+00   0.000000E+00  -0.142253E+01   0.132690E-06   0.631199E-03  -0.726061E-06
    60   0.152496E+04   0.197024E+00   0.000000E+00  -0.170925E+01   0.132061E-06   0.620768E-03  -0.698042E-06
    61   0.154553E+04   0.206959E+00   0.000000E+00  -0.200678E+01   0.131423E-06   0.610440E-03  -0.649838E-06
    62   0.156596E+04   0.217218E+00   0.000000E+00  -0.231627E+01   0.130776E-06   0.600196E-03  -0.589010E-06
    63   0.158649E+04   0.227759E+00   0.000000E+00  -0.263907E+01   0.130122E-06   0.590044E-03  -0.526594E-06
    64   0.160739E+04   0.238592E+00   0.000000E+00  -0.297675E+01   0.129461E-06   0.579994E-03  -0.473604E-06
    65   0.162832E+04   0.249689E+00   0.000000E+00  -0.333029E+01   0.128795E-06   0.570057E-03  -0.441042E-06
    66   0.164957E+04   0.260983E+00   0.000000E+00  -0.369807E+01   0.128125E-06   0.560251E-03  -0.437423E-06
    67   0.167096E+04   0.272475E+00   0.000000E+00  -0.407717E+01   0.127451E-06   0.550628E-03  -0.461376E-06
    68   0.169277E+04   0.284210E+00   0.000000E+00  -0.446566E+01   0.126774E-06   0.541252E-03  -0.509066E-06
    69   0.171475E+04   0.296148E+00   0.000000E+00  -0.486153E+01   0.126093E-06   0.532183E-03  -0.576663E-06
    70   0.173702E+04   0.308333E+00   0.000000E+00  -0.526618E+01   0.125411E-06   0.523484E-03  -0.660342E-06
    71   0.175943E+04   0.320755E+00   0.000000E+00  -0.568182E+01   0.124726E-06   0.515198E-03  -0.754577E-06
    72   0.178201E+04   0.333388E+00   0.000000E+00  -0.610981E+01   0.124040E-06   0.507296E-03  -0.847013E-06
    73   0.180472E+04   0.346197E+00   0.000000E+00  -0.655086E+01   0.123352E-06   0.499732E-03  -0.923602E-06
    74   0.182762E+04   0.359169E+00   0.000000E+00  -0.700417E+01   0.122662E-06   0.492457E-03  -0.970311E-06
    75   0.185082E+04   0.372314E+00   0.000000E+00  -0.746833E+01   0.121971E-06   0.485424E-03  -0.973121E-06
    76   0.187429E+04   0.385632E+00   0.000000E+00  -0.794280E+01   0.121278E-06   0.478591E-03  -0.923163E-06
    77   0.189807E+04   0.399115E+00   0.000000E+00  -0.842747E+01   0.120584E-06   0.471932E-03  -0.832114E-06
    78   0.192220E+04   0.412789E+00   0.000000E+00  -0.892381E+01   0.119889E-06   0.465425E-03  -0.716772E-06
    79   0.194650E+04   0.426598E+00   0.000000E+00  -0.942809E+01   0.119193E-06   0.459049E-03  -0.593915E-06
    80   0.197107E+04   0.440547E+00   0.000000E+00  -0.994179E+01   0.118498E-06   0.452783E-03  -0.480308E-06
    81   0.199581E+04   0.454584E+00   0.000000E+00  -0.104654E+02   0.117803E-06   0.446608E-03  -0.390423E-06
    82   0.202080E+04   0.468733E+00   0.000000E+00  -0.109981E+02   0.117109E-06   0.440513E-03  -0.329625E-06
    83   0.204596E+04   0.482967E+00   0.000000E+00  -0.115394E+02   0.116416E-06   0.434492E-03  -0.301001E-06
    84   0.207138E+04   0.497284E+00   0.000000E+00  -0.120875E+02   0.115725E-06   0.428538E-03  -0.307635E-06
    85   0.209691E+04   0.511659E+00   0.000000E+00  -0.126434E+02   0.115035E-06   0.422642E-03  -0.352612E-06
    86   0.212263E+04   0.526104E+00   0.000000E+00  -0.132061E+02   0.114347E-06   0.416802E-03  -0.436341E-06
    87   0.214877E+04   0.540590E+00   0.000000E+00  -0.137748E+02   0.113662E-06   0.411036E-03  -0.548539E-06
    88   0.217488E+04   0.555133E+00   0.000000E+00  -0.143495E+02   0.112979E-06   0.405364E-03  -0.676262E-06
    89   0.220134E+04   0.569718E+00   0.000000E+00  -0.149317E+02   0.112298E-06   0.399809E-03  -0.806576E-06
    90   0.222801E+04   0.584310E+00   0.000000E+00  -0.155184E+02   0.111620E-06   0.394391E-03  -0.926557E-06
    91   0.225480E+04   0.598902E+00   0.000000E+00  -0.161103E+02   0.110944E-06   0.389128E-03  -0.102571E-05
    92   0.228187E+04   0.613480E+00   0.000000E+00  -0.167069E+02   0.110271E-06   0.384018E-03  -0.110323E-05
    93   0.230923E+04   0.628037E+00   0.000000E+00  -0.173081E+02   0.109602E-06   0.379056E-03  -0.116072E-05
    94   0.233664E+04   0.642537E+00   0.000000E+00  -0.179126E+02   0.108935E-06   0.374235E-03  -0.119980E-05
    95   0.236434E+04   0.656981E+00   0.000000E+00  -0.185211E+02   0.108271E-06   0.369548E-03  -0.122207E-05
    96   0.239202E+04   0.671354E+00   0.000000E+00  -0.191330E+02   0.107610E-06   0.364991E-03  -0.122915E-05
    97   0.242014E+04   0.685643E+00   0.000000E+00  -0.197476E+02   0.106953E-06   0.360557E-03  -0.122263E-05
    98   0.244846E+04   0.699841E+00   0.000000E+00  -0.203627E+02   0.106298E-06   0.356239E-03  -0.120413E-05
    99   0.247686E+04   0.713911E+00   0.000000E+00  -0.209814E+02   0.105647E-06   0.352032E-03  -0.117525E-05
   100   0.250553E+04   0.727854E+00   0.000000E+00  -0.215992E+02   0.104999E-06   0.347931E-03  -0.113758E-05
   101   0.253435E+04   0.741730E+00   0.000000E+00  -0.222193E+02   0.104355E-06   0.343927E-03  -0.109273E-05
   102   0.256368E+04   0.755392E+00   0.000000E+00  -0.228394E+02   0.103714E-06   0.340017E-03  -0.104230E-05
   103   0.259293E+04   0.768915E+00   0.000000E+00  -0.234604E+02   0.103076E-06   0.336194E-03  -0.987891E-06
   104   0.262240E+04   0.782299E+00   0.000000E+00  -0.240794E+02   0.102442E-06   0.332451E-03  -0.931097E-06
   105   0.265201E+04   0.795471E+00   0.000000E+00  -0.246978E+02   0.101812E-06   0.328783E-03  -0.873518E-06
   106   0.268184E+04   0.808505E+00   0.000000E+00  -0.253151E+02   0.101186E-06   0.325184E-03  -0.816747E-06
   107   0.271159E+04   0.821255E+00   0.000000E+00  -0.259298E+02   0.100563E-06   0.321648E-03  -0.762383E-06
   108   0.274171E+04   0.833795E+00   0.000000E+00  -0.265427E+02   0.999443E-07   0.318169E-03  -0.712019E-06
   109   0.277198E+04   0.846051E+00   0.000000E+00  -0.271525E+02   0.993295E-07   0.314740E-03  -0.667248E-06
   110   0.280233E+04   0.858025E+00   0.000000E+00  -0.277576E+02   0.987187E-07   0.311357E-03  -0.629665E-06
   111   0.283282E+04   0.869792E+00   0.000000E+00  -0.283596E+02   0.981120E-07   0.308014E-03  -0.600490E-06
   112   0.286346E+04   0.881276E+00   0.000000E+00  -0.289578E+02   0.975094E-07   0.304710E-03  -0.579458E-06
   113   0.289433E+04   0.892479E+00   0.000000E+00  -0.295507E+02   0.969108E-07   0.301446E-03  -0.565932E-06
   114   0.292527E+04   0.903327E+00   0.000000E+00  -0.301376E+02   0.963164E-07   0.298222E-03  -0.559278E-06
   115   0.295643E+04   0.913969E+00   0.000000E+00  -0.307183E+02   0.957261E-07   0.295038E-03  -0.558858E-06
   116   0.298759E+04   0.924181E+00   0.000000E+00  -0.312923E+02   0.951398E-07   0.291896E-03  -0.564039E-06
   117   0.301904E+04   0.934038E+00   0.000000E+00  -0.318587E+02   0.945577E-07   0.288795E-03  -0.574185E-06
   118   0.305064E+04   0.943690E+00   0.000000E+00  -0.324182E+02   0.939796E-07   0.285736E-03  -0.588662E-06
   119   0.308224E+04   0.952988E+00   0.000000E+00  -0.329687E+02   0.934056E-07   0.282719E-03  -0.606835E-06
   120   0.311398E+04   0.961783E+00   0.000000E+00  -0.335101E+02   0.928357E-07   0.279745E-03  -0.628071E-06
   121   0.314572E+04   0.970373E+00   0.000000E+00  -0.340425E+02   0.922699E-07   0.276813E-03  -0.651736E-06
   122   0.317752E+04   0.978461E+00   0.000000E+00  -0.345649E+02   0.917083E-07   0.273925E-03  -0.677198E-06
   123   0.320940E+04   0.986122E+00   0.000000E+00  -0.350776E+02   0.911507E-07   0.271081E-03  -0.703822E-06
   124   0.324134E+04   0.993430E+00   0.000000E+00  -0.355774E+02   0.905972E-07   0.268281E-03  -0.730977E-06
   125   0.327328E+04   0.100031E+01   0.000000E+00  -0.360666E+02   0.900478E-07   0.265525E-03  -0.758029E-06
   126   0.330529E+04   0.100684E+01   0.000000E+00  -0.365445E+02   0.895025E-07   0.262815E-03  -0.784347E-06
   127   0.333728E+04   0.101287E+01   0.000000E+00  -0.370102E+02   0.889613E-07   0.260150E-03  -0.809298E-06
   128   0.336927E+04   0.101854E+01   0.000000E+00  -0.374631E+02   0.884243E-07   0.257530E-03  -0.832251E-06
   129   0.340133E+04   0.102372E+01   0.000000E+00  -0.379024E+02   0.878913E-07   0.254957E-03  -0.852574E-06
   130   0.343337E+04   0.102840E+01   0.000000E+00  -0.383274E+02   0.873625E-07   0.252431E-03  -0.869636E-06
   131   0.346541E+04   0.103272E+01   0.000000E+00  -0.387395E+02   0.868378E-07   0.249951E-03  -0.882954E-06
   132   0.349751E+04   0.103655E+01   0.000000E+00  -0.391357E+02   0.863172E-07   0.247517E-03  -0.892637E-06
   133   0.352953E+04   0.103995E+01   0.000000E+00  -0.395185E+02   0.858007E-07   0.245126E-03  -0.898941E-06
   134   0.356155E+04   0.104292E+01   0.000000E+00  -0.398833E+02   0.852882E-07   0.242778E-03  -0.902125E-06
   135   0.359356E+04   0.104539E+01   0.000000E+00  -0.402332E+02   0.847797E-07   0.240470E-03  -0.902445E-06
   136   0.362543E+04   0.104737E+01   0.000000E+00  -0.405646E+02   0.842752E-07   0.238201E-03  -0.900158E-06
   137   0.365729E+04   0.104892E+01   0.000000E+00  -0.408796E+02   0.837747E-07   0.235970E-03  -0.895521E-06
   138   0.368907E+04   0.104996E+01   0.000000E+00  -0.411769E+02   0.832781E-07   0.233774E-03  -0.888790E-06
   139   0.372064E+04   0.105066E+01   0.000000E+00  -0.414558E+02   0.827854E-07   0.231613E-03  -0.880222E-06
   140   0.375229E+04   0.105078E+01   0.000000E+00  -0.417171E+02   0.822966E-07   0.229484E-03  -0.870073E-06
   141   0.378371E+04   0.105039E+01   0.000000E+00  -0.419585E+02   0.818117E-07   0.227386E-03  -0.858601E-06
   142   0.381515E+04   0.104959E+01   0.000000E+00  -0.421809E+02   0.813305E-07   0.225317E-03  -0.846060E-06
   143   0.384652E+04   0.104835E+01   0.000000E+00  -0.423843E+02   0.808532E-07   0.223276E-03  -0.832708E-06
   144   0.387767E+04   0.104661E+01   0.000000E+00  -0.425680E+02   0.803796E-07   0.221262E-03  -0.818801E-06
   145   0.390869E+04   0.104452E+01   0.000000E+00  -0.427314E+02   0.799098E-07   0.219271E-03  -0.804593E-06
   146   0.393979E+04   0.104186E+01   0.000000E+00  -0.428745E+02   0.794437E-07   0.217304E-03  -0.790343E-06
   147   0.397054E+04   0.103884E+01   0.000000E+00  -0.429958E+02   0.789814E-07   0.215358E-03  -0.776305E-06
   148   0.400115E+04   0.103532E+01   0.000000E+00  -0.430968E+02   0.785227E-07   0.213432E-03  -0.762736E-06
   149   0.403171E+04   0.103137E+01   0.000000E+00  -0.431763E+02   0.780676E-07   0.211523E-03  -0.749890E-06
   150   0.406199E+04   0.102706E+01   0.000000E+00  -0.432318E+02   0.776161E-07   0.209632E-03  -0.738025E-06
   151   0.409214E+04   0.102233E+01   0.000000E+00  -0.432666E+02   0.771683E-07   0.207755E-03  -0.727339E-06
   152   0.412201E+04   0.101710E+01   0.000000E+00  -0.432791E+02   0.767240E-07   0.205894E-03  -0.717811E-06
   153   0.415175E+04   0.101151E+01   0.000000E+00  -0.432670E+02   0.762833E-07   0.204048E-03  -0.709362E-06
   154   0.418129E+04   0.100556E+01   0.000000E+00  -0.432325E+02   0.758461E-07   0.202217E-03  -0.701913E-06
   155   0.421062E+04   0.999250E+00   0.000000E+00  -0.431750E+02   0.754124E-07   0.200402E-03  -0.695388E-06
   156   0.423960E+04   0.992583E+00   0.000000E+00  -0.430944E+02   0.749822E-07   0.198603E-03  -0.689708E-06
   157   0.426852E+04   0.985556E+00   0.000000E+00  -0.429893E+02   0.745555E-07   0.196820E-03  -0.684795E-06
   158   0.429716E+04   0.978241E+00   0.000000E+00  -0.428603E+02   0.741321E-07   0.195053E-03  -0.680570E-06
   159   0.432552E+04   0.970488E+00   0.000000E+00  -0.427074E+02   0.737122E-07   0.193303E-03  -0.676956E-06
   160   0.435367E+04   0.962445E+00   0.000000E+00  -0.425292E+02   0.732957E-07   0.191569E-03  -0.673875E-06
   161   0.438161E+04   0.954186E+00   0.000000E+00  -0.423271E+02   0.728825E-07   0.189851E-03  -0.671249E-06
   162   0.440928E+04   0.945560E+00   0.000000E+00  -0.421012E+02   0.724727E-07   0.188151E-03  -0.668999E-06
   163   0.443680E+04   0.936640E+00   0.000000E+00  -0.418499E+02   0.720662E-07   0.186468E-03  -0.667049E-06
   164   0.446389E+04   0.927500E+00   0.000000E+00  -0.415747E+02   0.716630E-07   0.184802E-03  -0.665320E-06
   165   0.449085E+04   0.918064E+00   0.000000E+00  -0.412733E+02   0.712631E-07   0.183154E-03  -0.663733E-06
   166   0.451753E+04   0.908480E+00   0.000000E+00  -0.409474E+02   0.708664E-07   0.181523E-03  -0.662212E-06
   167   0.454399E+04   0.898524E+00   0.000000E+00  -0.405975E+02   0.704729E-07   0.179910E-03  -0.660679E-06
   168   0.457001E+04   0.888565E+00   0.000000E+00  -0.402215E+02   0.700827E-07   0.178315E-03  -0.659055E-06
   169   0.459576E+04   0.878306E+00   0.000000E+00  -0.398193E+02   0.696956E-07   0.176738E-03  -0.657263E-06
   170   0.462121E+04   0.867968E+00   0.000000E+00  -0.393924E+02   0.693117E-07   0.175180E-03  -0.655225E-06
   171   0.464623E+04   0.857550E+00   0.000000E+00  -0.389386E+02   0.689310E-07   0.173640E-03  -0.652863E-06
   172   0.467088E+04   0.846977E+00   0.000000E+00  -0.384594E+02   0.685533E-07   0.172119E-03  -0.650099E-06
   173   0.469510E+04   0.836248E+00   0.000000E+00  -0.379548E+02   0.681788E-07   0.170617E-03  -0.646856E-06
   174   0.471903E+04   0.825658E+00   0.000000E+00  -0.374247E+02   0.678073E-07   0.169133E-03  -0.643056E-06
   175   0.474260E+04   0.814909E+00   0.000000E+00  -0.368683E+02   0.674389E-07   0.167670E-03  -0.638622E-06
   176   0.476565E+04   0.804223E+00   0.000000E+00  -0.362858E+02   0.670735E-07   0.166225E-03  -0.633492E-06
   177   0.478834E+04   0.793523E+00   0.000000E+00  -0.356786E+02   0.667111E-07   0.164800E-03  -0.627676E-06
   178   0.481059E+04   0.783031E+00   0.000000E+00  -0.350451E+02   0.663517E-07   0.163393E-03  -0.621203E-06
   179   0.483241E+04   0.772447E+00   0.000000E+00  -0.343854E+02   0.659952E-07   0.162005E-03  -0.614097E-06
   180   0.485394E+04   0.761991E+00   0.000000E+00  -0.337010E+02   0.656416E-07   0.160634E-03  -0.606388E-06
