#           k/h    P           
   0.100000E-03   0.539471E+03
   0.102020E-03   0.549924E+03
   0.104081E-03   0.560578E+03
   0.106184E-03   0.571440E+03
   0.108329E-03   0.582511E+03
   0.110517E-03   0.593796E+03
   0.112750E-03   0.605300E+03
   0.115027E-03   0.617027E+03
   0.117351E-03   0.628980E+03
   0.119722E-03   0.641164E+03
   0.122140E-03   0.653584E+03
   0.124608E-03   0.666245E+03
   0.127125E-03   0.679150E+03
   0.129693E-03   0.692305E+03
   0.132313E-03   0.705714E+03
   0.134986E-03   0.719382E+03
   0.137713E-03   0.733315E+03
   0.140495E-03   0.747517E+03
   0.143333E-03   0.761993E+03
   0.146228E-03   0.776750E+03
   0.149182E-03   0.791791E+03
   0.152196E-03   0.807123E+03
   0.155271E-03   0.822751E+03
   0.158407E-03   0.838681E+03
   0.161607E-03   0.854918E+03
   0.164872E-03   0.871469E+03
   0.168203E-03   0.888340E+03
   0.171601E-03   0.905536E+03
   0.175067E-03   0.923064E+03
   0.178604E-03   0.940930E+03
   0.182212E-03   0.959141E+03
   0.185893E-03   0.977703E+03
   0.189648E-03   0.996623E+03
   0.193479E-03   0.101591E+04
   0.197388E-03   0.103557E+04
   0.201375E-03   0.105560E+04
   0.205443E-03   0.107602E+04
   0.209594E-03   0.109684E+04
   0.213828E-03   0.111805E+04
   0.218147E-03   0.113968E+04
   0.222554E-03   0.116172E+04
   0.227050E-03   0.118418E+04
   0.231637E-03   0.120708E+04
   0.236316E-03   0.123042E+04
   0.241090E-03   0.125420E+04
   0.245960E-03   0.127844E+04
   0.250929E-03   0.130315E+04
   0.255998E-03   0.132834E+04
   0.261170E-03   0.135400E+04
   0.266446E-03   0.138016E+04
   0.271828E-03   0.140682E+04
   0.277319E-03   0.143399E+04
   0.282922E-03   0.146169E+04
   0.288637E-03   0.148991E+04
   0.294468E-03   0.151867E+04
   0.300417E-03   0.154799E+04
   0.306485E-03   0.157786E+04
   0.312677E-03   0.160831E+04
   0.318993E-03   0.163934E+04
   0.325437E-03   0.167096E+04
   0.332012E-03   0.170319E+04
   0.338719E-03   0.173603E+04
   0.345561E-03   0.176949E+04
   0.352542E-03   0.180360E+04
   0.359664E-03   0.183835E+04
   0.366930E-03   0.187377E+04
   0.374342E-03   0.190986E+04
   0.381904E-03   0.194663E+04
   0.389619E-03   0.198411E+04
   0.397490E-03   0.202229E+04
   0.405520E-03   0.206120E+04
   0.413712E-03   0.210085E+04
   0.422070E-03   0.214124E+04
   0.430596E-03   0.218241E+04
   0.439295E-03   0.222434E+04
   0.448169E-03   0.226708E+04
   0.457222E-03   0.231061E+04
   0.466459E-03   0.235497E+04
   0.475882E-03   0.240017E+04
   0.485496E-03   0.244621E+04
   0.495303E-03   0.249312E+04
   0.505309E-03   0.254091E+04
   0.515517E-03   0.258960E+04
   0.525931E-03   0.263920E+04
   0.536556E-03   0.268972E+04
   0.547395E-03   0.274119E+04
   0.558453E-03   0.279362E+04
   0.569734E-03   0.284703E+04
   0.581244E-03   0.290143E+04
   0.592986E-03   0.295684E+04
   0.604965E-03   0.301329E+04
   0.617186E-03   0.307077E+04
   0.629654E-03   0.312933E+04
   0.642374E-03   0.318896E+04
   0.655350E-03   0.324969E+04
   0.668589E-03   0.331155E+04
   0.682096E-03   0.337454E+04
   0.695875E-03   0.343869E+04
   0.709933E-03   0.350401E+04
   0.724274E-03   0.357053E+04
   0.738906E-03   0.363826E+04
   0.753832E-03   0.370723E+04
   0.769061E-03   0.377745E+04
