#    L    TT             EE             TE             PP             TP          
     2   0.101750E+04   0.509362E-01   0.366255E+01   0.104053E+07   0.242404E+05
     3   0.966786E+03   0.841601E-01   0.448604E+01   0.160586E+07   0.296217E+05
     4   0.912395E+03   0.965578E-01   0.456513E+01   0.210850E+07   0.323363E+05
     5   0.869294E+03   0.879414E-01   0.420952E+01   0.255342E+07   0.335810E+05
     6   0.837870E+03   0.670386E-01   0.365476E+01   0.294722E+07   0.339841E+05
     7   0.816266E+03   0.440991E-01   0.304742E+01   0.329738E+07   0.339067E+05
     8   0.802123E+03   0.260394E-01   0.247495E+01   0.360991E+07   0.335041E+05
     9   0.793795E+03   0.151091E-01   0.198154E+01   0.389012E+07   0.328557E+05
    10   0.789955E+03   0.101147E-01   0.159065E+01   0.414169E+07   0.320569E+05
    11   0.789284E+03   0.848052E-02   0.131047E+01   0.436916E+07   0.312290E+05
    12   0.792045E+03   0.798614E-02   0.114066E+01   0.457415E+07   0.304338E+05
    13   0.796543E+03   0.738714E-02   0.106069E+01   0.475911E+07   0.296757E+05
    14   0.801921E+03   0.655495E-02   0.104507E+01   0.492670E+07   0.289447E+05
    15   0.808539E+03   0.577199E-02   0.107562E+01   0.507859E+07   0.282143E+05
    16   0.816853E+03   0.532537E-02   0.113656E+01   0.521622E+07   0.274658E+05
    17   0.826773E+03   0.533043E-02   0.121116E+01   0.534108E+07   0.267269E+05
    18   0.837342E+03   0.563910E-02   0.128577E+01   0.545453E+07   0.260273E+05
    19   0.849407E+03   0.606999E-02   0.135325E+01   0.555725E+07   0.253575E+05
    20   0.861320E+03   0.652223E-02   0.140714E+01   0.564987E+07   0.247015E+05
    21   0.873444E+03   0.698324E-02   0.145137E+01   0.573347E+07   0.240547E+05
    22   0.886067E+03   0.755074E-02   0.149053E+01   0.580911E+07   0.234175E+05
    23   0.899003E+03   0.831598E-02   0.152631E+01   0.587731E+07   0.227976E+05
    24   0.912313E+03   0.932295E-02   0.156014E+01   0.593849E+07   0.222029E+05
    25   0.925943E+03   0.106045E-01   0.159515E+01   0.599323E+07   0.216333E+05
    26   0.939709E+03   0.121420E-01   0.163521E+01   0.604215E+07   0.210863E+05
    27   0.953844E+03   0.138854E-01   0.167822E+01   0.608572E+07   0.205585E+05
    28   0.968200E+03   0.158122E-01   0.172213E+01   0.612432E+07   0.200482E+05
    29   0.982836E+03   0.179257E-01   0.176599E+01   0.615801E+07   0.195608E+05
    30   0.997667E+03   0.202390E-01   0.180741E+01   0.618691E+07   0.191011E+05
    31   0.101257E+04   0.227399E-01   0.184349E+01   0.621157E+07   0.186623E+05
    32   0.102779E+04   0.254048E-01   0.187120E+01   0.623257E+07   0.182362E+05
    33   0.104334E+04   0.282396E-01   0.188771E+01   0.625012E+07   0.178188E+05
    34   0.105905E+04   0.312653E-01   0.189193E+01   0.626437E+07   0.174085E+05
    35   0.107490E+04   0.344864E-01   0.188659E+01   0.627555E+07   0.170064E+05
    36   0.109081E+04   0.379113E-01   0.187306E+01   0.628387E+07   0.166153E+05
    37   0.110681E+04   0.415484E-01   0.184745E+01   0.628954E+07   0.162422E+05
    38   0.112318E+04   0.454120E-01   0.180793E+01   0.629273E+07   0.158922E+05
    39   0.113990E+04   0.495135E-01   0.175724E+01   0.629357E+07   0.155601E+05
    40   0.115673E+04   0.538688E-01   0.169908E+01   0.629217E+07   0.152386E+05
