#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.101953E-04   0.206117E+08   0.194776E+08   0.259567E+08   0.259563E+08   0.194798E+08   0.204168E+08   0.204212E+08   0.204237E+08  -0.461250E+00   0.987988E+07   0.987988E+07   0.576464E+01
   0.112570E-04   0.206117E+08   0.194776E+08   0.259537E+08   0.259532E+08   0.194798E+08   0.204168E+08   0.204212E+08   0.204237E+08  -0.461250E+00   0.987988E+07   0.987988E+07   0.636478E+01
   0.124294E-04   0.206116E+08   0.194776E+08   0.259501E+08   0.259495E+08   0.194798E+08   0.204168E+08   0.204212E+08   0.204237E+08  -0.461249E+00   0.987987E+07   0.987987E+07   0.702735E+01
   0.137238E-04   0.206116E+08   0.194776E+08   0.259457E+08   0.259450E+08   0.194797E+08   0.204168E+08   0.204212E+08   0.204237E+08  -0.461249E+00   0.987987E+07   0.987987E+07   0.775884E+01
   0.151530E-04   0.206116E+08   0.194776E+08   0.259404E+08   0.259395E+08   0.194797E+08   0.204168E+08   0.204212E+08   0.204237E+08  -0.461249E+00   0.987986E+07   0.987986E+07   0.856639E+01
   0.167310E-04   0.206116E+08   0.194776E+08   0.259338E+08   0.259328E+08   0.194797E+08   0.204168E+08   0.204212E+08   0.204237E+08  -0.461248E+00   0.987986E+07   0.987986E+07   0.945787E+01
   0.184734E-04   0.206116E+08   0.194776E+08   0.259259E+08   0.259246E+08   0.194797E+08   0.204167E+08   0.204212E+08   0.204237E+08  -0.461248E+00   0.987985E+07   0.987985E+07   0.104420E+02
   0.203972E-04   0.206116E+08   0.194775E+08   0.259162E+08   0.259146E+08   0.194796E+08   0.204167E+08   0.204212E+08   0.204236E+08  -0.461248E+00   0.987984E+07   0.987984E+07   0.115283E+02
   0.225214E-04   0.206116E+08   0.194775E+08   0.259044E+08   0.259025E+08   0.194796E+08   0.204167E+08   0.204212E+08   0.204236E+08  -0.461247E+00   0.987983E+07   0.987983E+07   0.127273E+02
   0.248668E-04   0.206115E+08   0.194775E+08   0.258900E+08   0.258876E+08   0.194795E+08   0.204167E+08   0.204211E+08   0.204236E+08  -0.461246E+00   0.987982E+07   0.987982E+07   0.140507E+02
   0.274565E-04   0.206115E+08   0.194775E+08   0.258724E+08   0.258696E+08   0.194794E+08   0.204166E+08   0.204211E+08   0.204235E+08  -0.461245E+00   0.987980E+07   0.987980E+07   0.155112E+02
